;Corcovado - Cristo Redentor;Jardim Botanico;Praia de Ipanema;Parque Lage;Praia do Arpoador;Maracana;Praia da Barra da Tijuca;Centro Cultural Banco do Brasil;Museu do Amanhã;AquaRio
Corcovado - Cristo Redentor;0;11760;14461;10289;15793;14589;30442;13260;13887;14125
Jardim Botanico;12246;0;4357;2049;5688;12708;19861;13825;13461;12636
Praia de Ipanema;14540;4273;0;4844;1331;15001;20535;14413;15040;14929
Parque Lage;11246;1479;4667;0;5998;11707;20647;10527;12460;11636
Praia do Arpoador;15762;5495;2267;6066;0;16223;21556;13229;13856;14208
Maracana;13611;10308;13009;8836;14341;0;30098;6669;6304;5960
Praia da Barra da Tijuca;29360;19093;19292;19664;20623;25938;0;30938;30574;31357
Centro Cultural Banco do Brasil;14069;12146;14847;10674;13459;7380;33555;0;626;1962
Museu do Amanhã;15558;14011;16712;12539;15493;7963;32929;4463;0;1335
AquaRio;14222;13150;15851;11679;14453;6627;31593;5837;5456;0
