;Cristo Redentor;Jardim Botanico;Praia de Ipanema;Parque Lage;Praia do Arpoador;Maracana;Praia da Barra da Tijuca;Centro Cultural Banco do Brasil;Museu do Amanhã;AquaRio;Escadaria Selarón;Forte de Copacabana;Santa Teresa;Praia da Reserva;Pedra da Gávea;Pedra do Telégrafo;Prainha Beach;Morro Dois Irmãos;Mosteiro De São Bento;Mirante Dona Marta;Theatro Municipal do Rio de Janeiro;Parque Nacional da Tijuca;Real Gabinete Português Da Leitura;Praia do Grumari;Pedra Bonita;Praia Da Joatinga;Centro Cultural Jerusalém;Bondinho de Santa Teresa;Ilha Da Gigóia;Pedra do Sal
Cristo Redentor;0;11761;14461;10289;15793;14591;30442;13261;13887;14127;12488;14375;10781;32435;20872;54878;45616;39375;19260;4606;12377;14934;13065;48397;13869;22786;21476;12778;17146;15020
Jardim Botanico;12247;0;4357;2049;5688;12708;19861;13825;13461;12636;11834;6374;12454;21853;10291;44296;35034;29648;17376;8864;13797;19531;12836;37816;11955;12205;18965;12124;14674;13529
Praia de Ipanema;14540;4273;0;4844;1331;15001;20535;14413;15040;14929;13742;2017;14362;22528;10965;44971;35709;30322;19669;11158;13529;20205;14320;38490;12630;12879;21259;14032;15348;15822
Parque Lage;11246;1479;4667;0;5998;11707;20647;10527;12460;11636;10833;6684;9320;22640;11078;45083;35821;30434;16375;7864;9643;20317;11836;38603;12742;12991;17965;11124;15460;12528
Praia do Arpoador;15762;5495;2267;6066;0;16223;21556;13229;13856;14208;12558;833;13178;23548;11986;45991;36729;31343;20891;12380;12346;21225;13136;39511;13650;13899;22481;12849;16369;15101
Maracana;13613;10308;13009;8836;14341;0;30098;6669;6304;5960;5911;12923;6531;32091;19420;53487;44225;27800;10700;10231;6641;15258;5680;47007;14507;21334;9901;6380;17784;6853
Praia da Barra da Tijuca;29360;19093;19292;19664;20623;25938;0;30938;30574;31357;28947;21309;29567;3931;14024;28704;19442;13876;33397;25978;30910;20675;29950;22224;16196;10659;20755;29238;10868;32250
Centro Cultural Banco do Brasil;14070;12146;14847;10674;13459;7380;33556;0;626;1962;3319;13171;3939;35549;21258;56945;47683;31258;11142;10687;1953;20054;2045;50465;19303;23171;13358;3139;25641;1639
Museu do Amanhã;15558;14011;16712;12539;15493;7963;32930;4463;0;1335;4650;15205;5571;34923;23123;56319;47057;30631;10515;12176;4435;21136;3474;49838;20385;25037;12731;4744;27506;2264
AquaRio;14222;13150;15851;11679;14453;6627;31594;5837;5456;0;6025;14165;6946;33587;22262;54983;45721;29295;9180;10840;5809;19800;4848;48503;19050;24176;11395;6118;26645;3638
Escadaria Selarón;11137;9373;13304;8039;11633;8233;28055;2459;3086;4422;0;11345;1393;30048;18485;52490;43228;32738;12622;7755;1538;19819;2551;46010;19068;20399;14838;2228;22868;4099
Forte de Copacabana;14661;6503;3275;6701;1405;15122;22563;12671;13297;13650;11999;0;12619;24556;12993;46999;37737;32350;19790;11279;11787;22233;12577;40518;14658;14907;21380;12290;17376;14542
Santa Teresa;10749;10035;14101;8701;12429;8725;28717;3256;3882;5218;975;12141;0;30710;19147;53152;43890;33229;13114;7367;2051;20310;3042;46672;19560;21061;15329;2720;23530;4896
Praia da Reserva;32239;21972;22171;22543;23503;28817;2879;33818;33453;34236;31826;24188;32446;0;16904;21657;12395;16755;36277;28857;33790;23554;32829;15177;19075;13538;23634;32117;13748;35129
Pedra da Gávea;21471;11204;11403;11775;12734;21932;14816;23049;22685;21860;21058;13420;21678;16809;0;39252;29990;24603;26600;18089;23021;13881;22061;32771;6305;4423;28190;21349;9629;22753
Pedra do Telégrafo;54628;44361;44560;44932;45891;48629;27474;56207;55842;54048;54215;46577;54835;21600;39292;0;9252;28767;56089;51246;56179;46601;55218;6480;41464;36585;43446;54506;36795;54941
Prainha Beach;45376;35109;35307;35679;36639;39376;18222;46954;46590;44795;44963;37324;45583;12347;30040;9262;0;19514;46836;41993;46926;37349;45965;2781;32212;27333;34193;45253;27542;45688
Morro Dois Irmãos;44357;28815;29013;34569;30345;22252;12725;30762;30380;27670;30950;31031;31870;14718;23746;28864;19602;0;29711;40975;30734;31055;29773;22384;25918;21039;17068;31043;21248;28563
Mosteiro De São Bento;34044;30722;33423;29250;34755;25351;47592;26414;26032;23322;26602;33337;27522;49585;39834;70981;61719;45294;0;30662;26386;38630;25425;64501;37879;41748;27394;26695;44217;24215
Mirante Dona Marta;4615;8332;11033;6860;12364;11162;27014;9832;10458;10698;9059;10946;7353;29007;17444;51449;42187;35947;15831;0;8948;15608;9637;44969;19108;19358;18047;9349;21827;11591
Theatro Municipal do Rio de Janeiro;12283;12803;13802;10051;12130;8037;34748;1191;1818;3154;1991;11843;2611;36741;21915;58137;48875;32449;12334;8900;0;19634;2300;51657;18883;23829;14549;1675;26298;2831
