;Cristo Redentor;Jardim Botanico;Praia de Ipanema;Parque Lage;Praia do Arpoador;Maracana;Praia da Barra da Tijuca;Centro Cultural Banco do Brasil;Museu do Amanha;AquaRio;Escadaria Selaron;Forte Copacabana;Santa Teresa;Praia da Reserva;Pedra da Gavea;Pedra do Telegrafo;Prainha;Morro Dois Irmaos;Mosteiro De Sao Bento;Mirante Dona Marta;Theatro Municipal do Rio de Janeiro;Parque Nacional da Tijuca;Real Gabinete Portugues Da Leitura;Praia do Grumari;Pedra Bonita;Praia Da Joatinga;Centro Cultural Jerusalem;Bondinho de Santa Teresa;Ilha Da Gigoia;Pedra do Sal;Catedral Metropolitana de São Sebastião;Vista Chinesa;Museu Historico Nacional;Igreja de Sao Francisco da Penitência;Parque das Ruinas;Museu de Arte do Rio;Mureta da Urca;Quinta Da Boa Vista;Feira de Sao Cristovao;Biblioteca Nacional
Cristo Redentor;0;11761;14461;10289;15793;14591;30442;13261;13887;14127;12488;14375;10781;32435;20872;54878;45616;39375;19261;4606;12377;14934;13065;48397;13869;22786;21473;12778;17146;15020;12219;16923;12889;12701;10786;15052;15809;13350;19776;12337
Jardim Botanico;12247;0;4357;2049;5688;12708;19861;13825;13461;12636;11834;6374;12454;21853;10291;44296;35034;29648;17376;8864;13797;19531;12836;37816;11955;12205;18965;12124;14674;13529;11566;5247;14282;12862;12458;13561;8763;11466;11946;13758
Praia de Ipanema;14540;4273;0;4844;1331;15001;20535;14413;15040;14929;13742;2017;14362;22528;10965;44971;35709;30322;19670;11158;13529;20205;14320;38490;12630;12879;21259;14032;15348;15822;13474;9435;14387;13955;14366;15854;9265;13760;14239;13490
Parque Lage;11246;1479;4667;0;5998;11707;20647;10527;12460;11636;10833;6684;9320;22640;11078;45083;35821;30434;16376;7864;9643;20317;11836;38603;12742;12991;17965;11124;15460;12528;10565;6642;10155;11862;9324;12561;6786;10466;10945;9603
Praia do Arpoador;15762;5495;2267;6066;0;16223;21556;13229;13856;14208;12558;833;13178;23548;11986;45991;36729;31343;20892;12380;12346;21225;13136;39511;13650;13899;22481;12849;16369;15101;12290;10658;13203;12771;13183;15133;8081;14982;15461;12306
Maracana;13613;10308;13009;8836;14341;0;30098;6669;6304;5960;5911;12923;6531;32091;19420;53487;44225;27800;10700;10231;6641;15258;5680;47007;14507;21334;9901;6380;17784;6853;5822;15471;7126;5706;6535;6885;12921;2089;3359;6601
Praia da Barra da Tijuca;29360;19093;19292;19664;20623;25938;0;30938;30574;31358;28947;21309;29567;3931;14024;28704;19442;13876;33402;25978;30910;20675;29950;22224;16196;10659;20755;29238;10868;32250;28679;20315;34966;29976;29572;32282;25876;28580;28806;30871
Centro Cultural Banco do Brasil;14070;12146;14847;10674;13459;7380;33556;0;626;1962;3319;13171;3939;35549;21258;56945;47683;31257;11143;10687;1953;20054;2045;50465;19303;23172;13355;3139;25641;1639;2581;17308;2438;2071;3944;1407;11122;5396;7374;1913
Museu do Amanha;15558;14011;16712;12539;15493;7963;32929;4463;0;1335;4650;15205;5571;34922;23123;56318;47056;30631;10516;12176;4435;21136;3474;49838;20385;25037;12729;4744;27506;2264;4185;19174;4920;3500;5576;2296;13156;5591;6747;4395
AquaRio;14222;13150;15851;11679;14453;6627;31594;5837;5456;0;6025;14165;6946;33587;22262;54983;45721;29295;9180;10840;5809;19800;4848;48502;19050;24176;11393;6118;26645;3638;5560;18313;6357;4875;6950;3671;12116;4255;5411;5770
