,Corcovado - Cristo Redentor,Jardim Botanico,Praia de Ipanema,Parque Lage,Praia do Arpoador,Maracana,Praia da Barra da Tijuca,Centro Cultural Banco do Brasil,Museu do Amanhã,AquaRio
Corcovado - Cristo Redentor,0.0,11.7609,14.461799999999998,10.289100000000001,15.7934,14.5895,30.442700000000002,13.2609,13.8874,14.1256
Jardim Botanico,12.2469,0.0,4.3571,2.0492,5.6888000000000005,12.708,19.861,13.8255,13.4611,12.6365
Praia de Ipanema,14.5402,4.2735,0.0,4.844,1.3316,15.0012,20.5358,14.4136,15.0401,14.9297
Parque Lage,11.2465,1.4795999999999998,4.667,0.0,5.998600000000001,11.7075,20.6478,10.527,12.460700000000001,11.636
Praia do Arpoador,15.7626,5.4959,2.2676999999999996,6.0664,0.0,16.2236,21.556,13.229899999999999,13.856399999999999,14.2087
Maracana,13.6117,10.3087,13.0096,8.8369,14.341299999999999,0.0,30.0987,6.669,6.3046999999999995,5.9604
Praia da Barra da Tijuca,29.3602,19.0935,19.292,19.664099999999998,20.6237,25.9384,0.0,30.9388,30.5745,31.357200000000002
Centro Cultural Banco do Brasil,14.0699,12.1462,14.847100000000001,10.6744,13.459,7.3803,33.5559,0.0,0.6265,1.9622
Museu do Amanhã,15.5581,14.0116,16.7125,12.5398,15.4934,7.9633,32.9294,4.463100000000001,0.0,1.3357
AquaRio,14.2224,13.1509,15.851899999999999,11.679200000000002,14.453700000000001,6.6276,31.5936,5.8377,5.456,0.0
