;Cristo Redentor;Jardim Botanico;Praia de Ipanema;Parque Lage;Praia do Arpoador;Maracana;Praia da Barra da Tijuca;Centro Cultural Banco do Brasil;Museu do Amanha;AquaRio;Escadaria Selaron;Forte Copacabana;Santa Teresa;Praia da Reserva;Pedra da Gavea;Pedra do Telegrafo;Prainha;Morro Dois Irmaos;Mosteiro De Sao Bento;Mirante Dona Marta;Theatro Municipal do Rio de Janeiro;Parque Nacional da Tijuca;Real Gabinete Portugues Da Leitura;Praia do Grumari;Pedra Bonita;Praia Da Joatinga;Centro Cultural Jerusalem;Bondinho de Santa Teresa;Ilha Da Gigoia;Pedra do Sal;Catedral Metropolitana de São Sebastião;Vista Chinesa;Museu Historico Nacional;Igreja de Sao Francisco da Penitência;Parque das Ruinas;Museu de Arte do Rio;Mureta da Urca;Quinta Da Boa Vista;Feira de Sao Cristovao;Biblioteca Nacional
Cristo Redentor;0;5922;9140;3938;10492;11073;24112;12342;12955;13074;10256;11055;9924;27060;16224;47528;39357;30090;14593;4481;10989;15247;11346;42046;13395;17438;18586;11228;18991;12286;10942;9040;11766;11518;9929;12728;12353;11220;11882;11156
Jardim Botanico;5922;0;4060;2188;5376;14407;19626;11269;12595;13033;9366;5940;10008;22573;15089;43041;34870;29187;14368;7422;10106;15749;10838;37559;11209;12359;22982;10324;15013;12401;10363;5165;11391;10729;10013;12545;7664;14992;15551;10273
Praia de Ipanema;9140;4060;0;5215;1423;16341;18319;13165;14491;14928;11262;2119;11903;21268;16201;41736;33564;27882;16264;10635;12002;19527;12733;36253;12233;11054;24878;12220;13708;14297;12259;8847;13286;12625;11908;14440;8871;16887;17447;12168
Parque Lage;3938;2188;5215;0;6572;13968;20897;10829;12155;12593;8926;6643;9568;23845;18777;44312;36141;30458;13928;5723;9666;17113;10398;38830;14809;13630;22543;9885;16285;11962;9923;7239;10951;10289;9573;12105;7224;14552;15111;9833
Praia do Arpoador;10492;5376;1423;6572;0;15288;19655;12111;13437;13874;10208;835;10849;22602;17537;43070;34901;29218;15209;12726;10947;20874;11679;37590;13569;12388;23824;11166;15043;13243;11204;10163;12233;11570;10854;13386;7815;15833;16392;11114
Maracana;11073;14407;16341;13968;15288;0;23986;5943;6298;4870;5805;15625;6220;26603;15237;48122;39952;23355;8592;8827;6102;8693;5386;42641;12408;18757;7559;5761;18004;5631;5508;14582;6953;5752;6225;6073;13380;1661;2785;6332
Praia da Barra da Tijuca;24112;19626;18319;20897;19655;23986;0;28204;29935;28514;28048;20352;28603;2954;11909;23411;15240;11742;32225;25327;28583;16388;27276;17930;14367;9502;25003;27530;6984;27892;27277;19189;29825;27447;28607;29630;26464;25305;26429;28703
Centro Cultural Banco do Brasil;12342;11269;13165;10829;12111;5943;28204;0;1073;2075;2181;11508;3198;32118;20308;53931;45760;29172;3086;10095;1182;14499;1103;48449;17479;22801;13355;1322;23075;1276;1719;16321;1112;960;3203;977;9261;5484;5813;1034
Museu do Amanha;12955;12595;14491;12155;13437;6298;29935;1073;0;1506;3019;12834;3633;32559;20667;54291;46120;29524;3040;10708;2017;14869;1692;48809;17838;24127;12821;2407;23434;820;2342;17647;2051;1892;3638;375;10591;5058;5064;1869
AquaRio;13074;13033;14928;12593;13874;4870;28514;2075;1506;0;3457;13271;4075;31132;19465;52784;44613;28017;4263;10828;2974;13495;2204;47302;16636;22985;11314;3098;22232;1003;2947;18082;3052;2583;4079;1201;11028;3551;3558;3021
Escadaria Selaron;10256;9366;11262;8926;10208;5805;28048;2181;3019;3457;0;9605;696;31775;19678;53850;45678;29082;4809;7932;1036;14359;1416;48367;16849;20898;13399;937;22445;2826;835;14414;2011;1215;701;2969;7358;5409;5968;1261
