;Corcovado - Cristo Redentor;Jardim Botanico;Praia de Ipanema;Parque Lage;Praia do Arpoador;Maracana;Praia da Barra da Tijuca;Centro Cultural Banco do Brasil;Museu do Amanhã;AquaRio
Corcovado - Cristo Redentor;0;6248;8635;3938;9990;10274;24104;11584;11897;12266
Jardim Botanico;5597;0;4083;2236;5357;13532;19508;11387;12945;13403
Praia de Ipanema;9645;4038;0;5255;1357;15345;18351;13123;14681;15139
Parque Lage;3938;2140;5175;0;6531;12958;20755;10812;12370;12828
Praia do Arpoador;10994;5396;1489;6613;0;14417;19685;12195;13753;14210
Maracana;11868;15283;17338;14978;16159;0;23118;5993;6269;4921
Praia da Barra da Tijuca;24121;19805;18348;21101;19688;24854;0;28239;31191;29684
Centro Cultural Banco do Brasil;13095;11152;13207;10847;12027;5872;28230;0;1051;2030
Museu do Amanhã;14011;12248;14302;11943;13123;6327;28679;1096;0;1503
AquaRio;13878;12664;14719;12359;13539;4820;27345;2120;1510;0
