;Cristo Redentor;Jardim Botanico;Praia de Ipanema;Parque Lage;Praia do Arpoador;Maracana;Praia da Barra da Tijuca;Centro Cultural Banco do Brasil;Museu do Amanhã;AquaRio;Escadaria Selarón;Forte de Copacabana;Santa Teresa;Praia da Reserva;Pedra da Gávea;Pedra do Telégrafo;Prainha Beach;Morro Dois Irmãos;Mosteiro De São Bento;Mirante Dona Marta;Theatro Municipal do Rio de Janeiro;Parque Nacional da Tijuca;Real Gabinete Português Da Leitura;Praia do Grumari;Pedra Bonita;Praia Da Joatinga;Centro Cultural Jerusalém;Bondinho de Santa Teresa;Ilha Da Gigóia;Pedra do Sal
Cristo Redentor;0;6248;8635;3938;9990;10274;24104;11584;11897;12266;9525;10574;9200;26990;16199;47483;39330;30357;12135;4481;10298;15283;10527;42019;13401;16804;17875;10511;18649;11325
Jardim Botanico;5597;0;4083;2236;5357;13532;19498;11387;12945;13403;9428;5941;10048;22383;16384;42877;34724;29288;13184;6812;10214;15749;10989;37413;11215;12243;23354;10340;14894;12771
Praia de Ipanema;9645;4038;0;5255;1357;15345;18342;13123;14681;15139;11164;2053;11784;21229;17609;41723;33570;28134;14920;10850;11950;19396;12725;36259;12265;11089;25091;12077;13740;14508
Parque Lage;3938;2140;5175;0;6531;12958;20745;10812;12370;12828;8853;6760;9474;23631;20010;44124;35971;30535;12609;5723;9639;17774;10414;38660;14666;13490;22780;9766;16142;12197
Praia do Arpoador;10994;5396;1489;6613;0;14417;19675;12195;13753;14210;10236;837;10856;22562;18942;43056;34903;29467;13991;12554;11021;20754;11796;37592;13598;12422;24162;11148;15074;13579
Maracana;11868;15283;17338;14978;16159;0;23118;5993;6269;4921;5897;15580;6237;26003;15213;47988;39836;23252;6508;8824;6193;8680;5444;42525;12414;18789;7648;5840;17662;5689
Praia da Barra da Tijuca;24121;19754;18297;21049;19636;24854;0;28239;31191;29684;28422;20332;29042;2900;12121;23393;15240;11672;31430;25336;29209;16627;27165;17930;13135;9523;24921;27417;6993;27934
Centro Cultural Banco do Brasil;13095;11152;13207;10847;12027;5872;28230;0;1051;2030;2194;11453;3053;31115;20311;53791;45639;29055;1290;10051;1226;14494;978;48328;17513;22502;13195;1294;22760;1231
Museu do Amanhã;14011;12248;14302;11943;13123;6327;28679;1096;0;1503;2876;12549;3613;31578;20773;54101;45949;29365;283;10968;2112;14961;1692;48638;17975;23598;12819;2397;23223;820
AquaRio;13878;12664;14719;12359;13539;4820;27345;2120;1510;0;3292;12965;4037;30231;19440;52594;44442;27858;1749;10834;3044;13454;2108;47131;16642;23016;11312;2813;21890;1003
Escadaria Selarón;10987;9305;11360;9000;10180;5714;27674;2168;3165;3623;0;9606;675;30546;19755;53689;45536;28952;3404;7946;1188;14348;1517;48225;16957;20655;13574;937;22205;2992
Forte de Copacabana;11537;5940;2186;6526;833;15670;20372;11563;13121;13579;9604;0;10224;23259;19639;43753;35600;30164;13360;12110;10390;21298;11165;38289;14295;13119;23530;10516;15770;12947
Santa Teresa;10645;9968;12023;9663;10843;6204;28164;3343;3655;4113;718;10270;0;31049;20245;54178;46025;29441;3894;7601;1883;14837;2154;48715;17447;21319;14064;1661;22694;3481
Praia da Reserva;27131;22764;21307;24059;22643;27203;3009;33101;33540;32033;33004;23339;33344;0;15131;22442;14289;13553;33779;28346;33301;18976;32552;16979;16145;12533;27270;32948;10002;32797
Pedra da Gávea;16249;13794;14793;17545;16132;15262;11697;20366;20642;19490;19601;16828;19941;14585;0;35078;26925;18373;20880;17463;19897;11320;19292;29614;2671;4058;20497;19544;6244;20061
Pedra do Telégrafo;47573;43206;41749;44501;43085;48257;23430;54068;54481;52974;54011;43781;54351;20565;35573;0;8189;26900;54720;48787;54308;37835;53518;5463;36587;32954;43118;53954;30423;53683
Prainha Beach;39384;35016;33559;36311;34899;40068;15241;45878;46291;44784;45821;35595;46161;12376;27384;8152;0;18704;46530;40598;46118;29646;45328;2689;28398;24786;34928;45765;22234;45493
Morro Dois Irmãos;29824;29088;27631;30383;28971;23459;11814;29270;29683;28176;29213;29667;29552;14701;18170;26839;18686;0;29921;32237;29509;14421;28719;21375;21331;18181;18319;29156;15546;28884
Mosteiro De São Bento;17047;15551;17606;15246;16426;10659;33002;4883;5798;6778;6213;15847;7018;35888;25097;58578;50425;33841;0;14004;5200;19280;5625;53114;22299;26901;17941;5314;27547;5979
Mirante Dona Marta;4481;8033;10420;5723;12898;8824;25319;10134;10447;10816;7918;12324;7750;28204;17414;48698;40545;32029;10686;0;8619;16497;9077;43234;14616;18589;16425;9061;19863;9876
Theatro Municipal do Rio de Janeiro;11681;9999;12054;9694;10874;6011;27957;1138;1923;2905;884;10300;1923;30856;20051;54248;46095;29511;2162;8640;0;14950;1066;48784;17253;21350;14166;395;22501;2106
Parque Nacional da Tijuca;15211;15749;19658;16453;20994;8706;16149;14501;14777;13536;14370;24053;14710;19037;11271;37240;29087;14421;15016;16879;14666;0;13951;31776;8473;17542;10497;14313;14812;14197
Real Gabinete Português Da Leitura;12160;10687;12742;10382;11562;5329;27388;1228;1612;2217;1315;10989;2115;30274;19469;53248;45095;28511;1851;9117;1015;13950;0;47784;16671;22038;13166;837;21919;1586
Praia do Grumari;42073;37705;36248;39000;37588;42757;17930;48567;48981;47474;48510;38284;48850;15065;30073;5463;2689;21400;49219;43287;48807;32335;48017;0;31087;27475;37618;48454;24923;48182
Pedra Bonita;13389;11203;12201;14953;13541;12402;15599;17506;17782;16630;16741;14237;17081;18485;3056;38978;30825;21851;18020;14603;17037;8460;16432;33514;0;7126;17637;16684;10144;17201
Praia Da Joatinga;18073;12476;11019;13771;12355;18726;9481;23100;24658;22954;21141;13051;21764;12366;7700;32860;24707;18419;24897;19288;21930;14784;22702;27396;7120;0;24233;22056;4025;24484
Centro Cultural Jerusalém;19292;22611;24665;22306;23486;7470;25085;13515;12823;11316;13224;22907;13564;27973;20447;42852;34699;18115;13062;16248;13521;10493;12730;37389;17649;24109;0;13167;21379;12025
Bondinho de Santa Teresa;11941;10309;12364;10004;11184;5683;27643;1351;2418;3383;937;10611;1781;30514;19724;53920;45767;29183;2657;8898;487;14622;855;48456;16926;21660;13838;0;22173;2752
Ilha Da Gigóia;19333;15133;13677;16429;15013;18346;6976;23380;23655;22574;22685;15709;23025;9861;6649;30355;22202;15715;23894;20547;22982;14404;22376;24891;10840;4051;21529;22628;0;23076
Pedra do Sal;13251;12033;14087;11728;12908;5574;27932;1321;820;1003;2661;12334;3405;30817;20013;53304;45151;28568;1059;10207;2413;14196;1477;47840;17215;23589;12023;2182;22463;0
