;Cristo Redentor;Jardim Botanico;Praia de Ipanema;Parque Lage;Praia do Arpoador;Maracana;Praia da Barra da Tijuca;Centro Cultural Banco do Brasil;Museu do Amanha;AquaRio;Escadaria Selaron;Forte Copacabana;Santa Teresa;Praia da Reserva;Pedra da Gavea;Pedra do Telegrafo;Prainha;Morro Dois Irmaos;Mosteiro De Sao Bento;Mirante Dona Marta;Theatro Municipal do Rio de Janeiro;Parque Nacional da Tijuca;Real Gabinete Portugues Da Leitura;Praia do Grumari;Pedra Bonita;Praia Da Joatinga;Centro Cultural Jerusalem;Bondinho de Santa Teresa;Ilha Da Gigoia;Pedra do Sal;Catedral Metropolitana de São Sebastião;Vista Chinesa;Museu Historico Nacional;Igreja de Sao Francisco da Penitência;Parque das Ruinas;Museu de Arte do Rio;Mureta da Urca;Quinta Da Boa Vista;Feira de Sao Cristovao;Biblioteca Nacional
Cristo Redentor;0;6248;8635;3938;9990;10276;24104;11586;11900;12268;9526;10574;9201;26990;16199;47483;39330;30357;12139;4481;10298;15283;10529;42019;13401;16804;17877;10512;18649;11324;10219;9366;11077;10794;9206;11765;11653;10416;11079;10478
Jardim Botanico;5597;0;4083;2236;5357;13532;19498;11387;12947;13403;9428;5941;10048;22383;16384;42877;34724;29288;13186;6812;10214;15749;10989;37413;11215;12243;23354;10340;14894;12771;10509;5165;11405;10866;10053;12796;7639;15147;15715;10393
Praia de Ipanema;9645;4038;0;5255;1357;15345;18342;13123;14683;15139;11164;2053;11784;21229;17609;41723;33570;28134;14922;10850;11950;19396;12725;36259;12265;11089;25091;12077;13740;14508;12246;8812;13141;12603;11789;14532;8789;16884;17452;12130
Parque Lage;3938;2140;5175;0;6531;12958;20745;10812;12372;12828;8853;6760;9474;23631;20010;44124;35971;30535;12611;5723;9639;17774;10414;38660;14666;13490;22780;9766;16142;12197;9935;7190;10830;10292;9478;12221;7065;14573;15141;9819
Praia do Arpoador;10994;5396;1489;6613;0;14417;19675;12195;13755;14210;10236;837;10856;22562;18942;43056;34903;29467;13993;12554;11021;20754;11796;37592;13598;12422;24162;11148;15074;13579;11317;10170;12213;11674;10860;13603;7848;15955;16523;11201
Maracana;11871;15283;17338;14978;16159;0;23118;5996;6269;4921;5897;15580;6237;26003;15213;47988;39836;23252;6508;8828;6193;8680;5444;42525;12414;18789;7648;5840;17662;5689;5580;14582;6975;5862;6241;6123;13234;1711;2837;6605
Praia da Barra da Tijuca;24121;19754;18297;21049;19636;24854;0;28160;31191;29684;28422;20332;29042;2900;12121;23393;15240;11672;31430;25336;29209;16627;27165;17930;13135;9523;24921;27417;6993;27853;27157;19197;30362;27283;29047;30887;26634;26474;27600;29387
Centro Cultural Banco do Brasil;13099;11152;13207;10847;12027;5891;28248;0;1051;2030;2194;11453;3053;31133;20329;53792;45639;29073;1290;10055;1226;14494;978;48328;17531;22502;13195;1294;22779;1231;1675;16202;1086;961;3058;944;9102;5489;5872;1037
Museu do Amanha;14010;12244;14299;11939;13119;6327;28679;1096;0;1503;2872;12545;3609;31578;20773;54101;45949;29365;283;10966;2112;14961;1688;48638;17975;23594;12819;2394;23223;820;2338;17294;2049;1711;3614;375;10202;5056;5065;1922
AquaRio;13881;12663;14718;12358;13538;4820;27345;2120;1510;0;3291;12964;4037;30231;19440;52594;44442;27858;1749;10838;3044;13454;2107;47131;16642;23016;11312;2813;21890;1003;2757;17713;3073;2489;4041;1205;10621;3549;3559;3244
Escadaria Selaron;10987;9305;11360;9000;10180;5714;27674;2168;3167;3623;0;9606;675;30546;19755;53689;45536;28952;3406;7946;1188;14348;1517;48225;16957;20655;13574;937;22205;2992;840;14355;2008;1211;680;3016;7255;5368;5935;1277
Forte Copacabana;11537;5940;2186;6526;833;15670;20372;11563;13123;13579;9604;0;10224;23259;19639;43753;35600;30164;13362;12110;10390;21298;11165;38289;14295;13119;23530;10516;15770;12947;10685;10714;11581;11042;10229;12971;7249;15323;15889;10569
Santa Teresa;10648;9968;12023;9663;10843;6204;28164;3343;3657;4113;718;10270;0;31049;20245;54178;46025;29441;3896;7605;1883;14837;2154;48715;17447;21319;14064;1661;22694;3481;1388;15018;2703;1934;4;3505;7919;5857;6425;1973
Praia da Reserva;27131;22764;21307;24059;22643;27203;3009;33103;33541;32034;33005;23339;33344;0;15131;22442;14289;13553;33779;28346;33301;18976;32552;16979;16145;12533;27270;32948;10002;32798;32688;22207;34068;32970;33349;33236;29643;28824;29949;33713
