;Cristo Redentor;Jardim Botanico;Praia de Ipanema;Parque Lage;Praia do Arpoador;Maracana;Praia da Barra da Tijuca;Centro Cultural Banco do Brasil;Museu do Amanha;AquaRio;Escadaria Selaron;Forte Copacabana;Santa Teresa;Praia da Reserva;Pedra da Gavea;Pedra do Telegrafo;Prainha;Morro Dois Irmaos;Mosteiro De Sao Bento;Mirante Dona Marta;Theatro Municipal do Rio de Janeiro;Parque Nacional da Tijuca;Real Gabinete Portugues Da Leitura;Praia do Grumari;Pedra Bonita;Praia Da Joatinga;Centro Cultural Jerusalem;Bondinho de Santa Teresa;Ilha Da Gigoia;Pedra do Sal;Catedral Metropolitana de São Sebastião;Vista Chinesa;Museu Historico Nacional;Igreja de Sao Francisco da Penitência;Parque das Ruinas;Museu de Arte do Rio;Mureta da Urca;Quinta Da Boa Vista;Feira de Sao Cristovao;Biblioteca Nacional
Cristo Redentor;0;21;24;20;25;28;40;26;27;27;26;25;24;43;32;72;54;51;31;11;26;39;27;58;31;33;36;26;35;28;25;34;26;26;24;28;28;27;28;25
Jardim Botanico;23;0;6;5;7;13;22;15;14;13;14;8;16;25;14;54;36;33;17;14;15;35;14;40;17;15;21;14;17;14;14;12;16;13;16;14;14;12;12;15
Praia de Ipanema;24;6;0;7;1;15;21;15;15;15;14;2;16;24;14;54;36;33;18;15;14;34;15;40;17;15;22;14;16;16;13;18;14;14;16;16;11;14;14;14
Parque Lage;22;3;6;0;7;12;22;13;13;12;13;8;15;25;15;55;37;34;16;13;13;35;13;41;18;16;20;13;17;13;13;15;13;12;15;13;11;11;11;12
Praia do Arpoador;25;7;2;8;0;16;22;14;15;14;13;1;15;25;15;54;36;34;19;16;14;35;15;41;17;16;23;14;17;15;13;19;14;14;15;16;11;15;15;13
Maracana;27;10;12;9;14;0;28;8;7;7;8;14;10;31;21;61;43;29;10;18;8;27;7;47;19;22;12;8;23;8;7;22;9;6;10;8;16;3;4;7
Praia da Barra da Tijuca;38;20;19;21;20;26;0;30;29;27;29;21;31;5;18;39;21;17;29;29;30;33;29;25;21;14;20;30;13;28;29;31;30;29;31;28;29;27;26;30
Centro Cultural Banco do Brasil;27;12;14;11;15;8;29;0;0;1;5;15;7;32;23;61;44;30;10;18;3;32;4;48;24;24;14;5;25;2;4;24;4;3;7;2;15;6;8;3
Museu do Amanha;27;13;16;12;16;9;28;5;0;1;5;16;7;31;24;61;43;29;9;19;5;33;4;47;25;25;14;6;27;2;5;26;5;3;7;2;15;6;7;4
AquaRio;26;12;15;11;15;7;27;6;5;0;7;15;9;30;23;60;42;28;8;17;6;31;5;46;24;25;13;7;26;4;6;25;6;5;9;4;15;5;6;6
Escadaria Selaron;24;13;13;11;12;9;31;3;4;5;0;12;3;34;24;63;46;33;13;15;3;32;4;50;25;25;17;3;26;6;3;25;3;3;3;6;12;8;10;2
Forte Copacabana;25;8;3;9;2;16;23;14;14;14;13;0;15;26;16;56;38;35;19;17;14;36;15;42;19;17;24;13;18;15;13;21;14;14;15;15;10;15;15;13
Santa Teresa;24;15;15;13;15;11;33;5;6;7;2;15;0;36;26;66;48;35;15;16;5;34;6;52;27;27;20;5;28;8;5;27;6;5;0;8;14;10;12;4
Praia da Reserva;42;24;23;25;25;30;4;34;33;31;33;25;35;0;22;34;16;21;33;33;34;37;34;20;25;18;24;34;18;32;33;35;35;33;35;32;33;31;30;34
Pedra da Gavea;33;15;14;16;16;24;19;25;24;24;24;16;26;23;0;52;34;31;27;24;25;31;25;38;13;10;31;25;14;25;24;25;26;24;26;25;24;23;23;25
Pedra do Telegrafo;71;53;53;54;54;59;37;64;63;60;63;55;65;34;51;0;17;42;62;63;64;67;63;13;55;48;53;63;47;61;62;65;64;62;65;61;62;61;59;63
Prainha;53;35;35;37;36;41;19;46;45;42;45;37;47;16;34;17;0;24;44;45;46;49;45;4;37;30;35;45;30;43;45;47;46;44;47;44;45;43;41;45
Morro Dois Irmaos;49;32;32;32;33;24;15;29;28;26;30;34;32;19;31;42;24;0;28;41;29;46;28;28;34;27;18;30;27;27;29;44;29;28;32;27;39;26;25;29
Mosteiro De Sao Bento;47;30;32;29;34;25;43;27;26;23;28;34;30;47;41;76;58;45;0;39;27;50;26;62;42;42;29;28;44;24;27;43;27;25;30;24;36;25;26;26
Mirante Dona Marta;11;13;15;12;16;19;31;17;18;18;17;16;16;34;24;64;46;42;23;0;17;41;18;50;27;25;27;17;26;19;17;25;17;17;16;19;20;18;19;17
Theatro Municipal do Rio de Janeiro;25;14;14;12;13;9;31;1;2;3;3;13;5;34;25;63;45;32;12;17;0;32;4;50;25;26;16;3;27;4;2;26;2;2;5;4;12;8;10;0
Parque Nacional da Tijuca;44;39;38;39;40;31;37;38;37;37;36;40;38;40;35;70;52;49;40;45;37;0;38;56;23;33;40;37;27;38;36;31;38;37;38;38;45;33;35;37
Real Gabinete Portugues Da Leitura;25;12;14;11;13;8;30;2;2;4;3;13;4;33;23;63;45;31;12;17;2;31;0;49;24;24;16;3;26;4;2;24;3;0;4;4;12;7;8;1
Praia do Grumari;57;39;39;41;40;45;23;50;49;46;49;41;51;20;38;13;4;28;49;49;50;53;49;0;41;34;39;49;34;47;49;51;50;48;51;48;49;47;46;49
Pedra Bonita;31;18;17;19;19;18;22;25;24;24;23;19;25;25;13;55;37;34;27;27;24;20;25;41;0;15;27;24;13;25;23;14;25;24;25;25;27;20;22;24
Praia Da Joatinga;35;17;16;18;18;25;15;27;26;26;26;18;28;18;10;48;30;27;29;26;27;29;27;34;15;0;30;27;9;27;26;26;28;26;28;27;26;24;25;27
Centro Cultural Jerusalem;36;20;22;19;23;10;21;17;16;13;17;23;19;24;31;54;36;22;15;27;17;35;16;40;27;32;0;17;31;14;17;32;16;15;19;14;26;11;11;16
Bondinho de Santa Teresa;25;13;13;12;13;9;31;2;2;3;2;13;4;34;24;64;46;32;12;16;1;32;3;50;24;25;17;0;27;4;3;26;2;2;4;4;12;8;10;1
Ilha Da Gigoia;33;15;14;16;16;23;11;25;24;24;24;16;26;14;13;43;25;23;27;25;25;24;25;29;14;7;25;25;0;25;24;22;26;24;26;25;24;23;23;25
Pedra do Sal;27;12;14;11;14;8;29;3;2;1;4;14;6;32;23;62;44;30;10;18;3;32;2;48;24;24;15;4;25;0;3;24;4;2;6;1;14;6;8;3
Catedral Metropolitana de São Sebastião;26;14;15;13;14;9;32;3;3;5;4;14;5;35;25;65;47;33;13;18;2;33;4;51;25;26;18;2;27;6;0;26;3;3;6;6;13;8;10;2
Vista Chinesa;33;13;16;15;17;23;31;25;24;23;24;18;26;34;24;63;46;43;27;24;25;27;24;50;14;26;31;24;21;24;24;0;26;24;26;24;24;22;22;25
Museu Historico Nacional;27;15;15;13;14;10;31;2;3;4;5;14;7;35;26;64;46;33;13;18;4;34;6;50;26;27;17;6;28;5;5;27;0;5;7;5;13;9;10;4
Igreja de Sao Francisco da Penitência;25;13;14;12;13;9;30;1;2;3;3;13;5;33;24;63;45;31;12;17;1;33;3;49;25;25;16;3;27;4;2;26;2;0;5;4;12;8;9;1
Parque das Ruinas;24;15;15;13;15;11;33;6;6;7;2;15;0;36;26;66;48;35;15;16;5;35;6;52;27;27;20;5;28;8;5;27;6;5;0;8;14;10;12;4
Museu de Arte do Rio;27;13;15;11;15;8;29;4;2;2;5;15;6;33;23;62;44;31;11;19;4;32;3;48;24;25;15;5;26;0;4;25;4;2;6;0;14;7;8;3
Mureta da Urca;27;12;12;11;12;16;31;13;14;13;12;12;14;34;23;63;45;39;19;19;13;39;14;49;26;24;24;13;26;14;12;25;13;13;14;14;0;15;17;12
Quinta Da Boa Vista;27;11;13;10;14;4;27;8;7;7;8;14;10;30;22;59;41;28;10;19;8;28;7;45;21;23;11;8;24;8;8;23;9;7;10;8;17;0;2;8
Feira de Sao Cristovao;28;11;13;10;15;6;27;9;8;8;9;15;11;30;22;60;42;28;11;19;9;30;9;46;23;23;11;10;25;9;9;23;10;8;11;9;18;3;0;9
Biblioteca Nacional;25;13;13;11;13;9;30;1;2;3;3;12;5;33;24;63;45;31;11;16;1;32;3;49;24;25;16;2;26;4;1;25;1;2;5;4;12;8;9;0
