,Corcovado - Cristo Redentor,Jardim Botanico,Praia de Ipanema,Parque Lage,Praia do Arpoador,Maracana,Praia da Barra da Tijuca,Centro Cultural Banco do Brasil,Museu do Amanhã,AquaRio
Corcovado - Cristo Redentor,0.0,21.908333333333335,24.0,20.833333333333332,25.398333333333333,28.25,40.28,26.466666666666665,27.048333333333336,27.39
Jardim Botanico,22.996666666666666,0.0,6.194999999999999,5.041666666666667,7.593333333333334,13.581666666666667,22.259999999999998,15.465,14.453333333333335,13.745000000000001
Praia de Ipanema,24.48,6.444999999999999,0.0,7.663333333333333,1.3983333333333334,15.065,21.868333333333332,15.031666666666666,15.613333333333333,15.228333333333333
Parque Lage,22.009999999999998,3.533333333333333,6.3566666666666665,0.0,7.755,12.595,22.636666666666667,13.638333333333332,13.466666666666667,12.758333333333333
Praia do Arpoador,25.490000000000002,7.455,2.5716666666666668,8.673333333333334,0.0,16.075,22.418333333333333,14.629999999999999,15.211666666666668,14.988333333333333
Maracana,27.31,10.633333333333333,12.725,9.558333333333334,14.123333333333333,0.0,28.535,8.303333333333333,7.291666666666667,7.261666666666667
Praia da Barra da Tijuca,38.195,20.16,19.513333333333332,21.378333333333334,20.91166666666667,26.381666666666668,0.0,30.663333333333334,29.651666666666664,27.598333333333336
Centro Cultural Banco do Brasil,27.17,12.378333333333334,14.47,11.303333333333335,15.645000000000001,8.023333333333333,29.283333333333335,0.0,0.5816666666666667,1.845
Museu do Amanhã,27.598333333333336,13.928333333333335,16.02,12.853333333333333,16.395,9.118333333333334,28.701666666666664,5.125,0.0,1.2633333333333332
AquaRio,26.334999999999997,12.946666666666665,15.038333333333332,11.871666666666666,15.978333333333333,7.855,27.438333333333333,6.64,5.806666666666667,0.0
