;Corcovado - Cristo Redentor;Jardim Botanico;Praia de Ipanema;Parque Lage;Praia do Arpoador;Maracana;Praia da Barra da Tijuca;Centro Cultural Banco do Brasil;Museu do Amanhã;AquaRio
Corcovado - Cristo Redentor;0;21;24;20;25;28;40;26;27;27
Jardim Botanico;22;0;6;5;7;13;22;15;14;13
Praia de Ipanema;24;6;0;7;1;15;21;15;15;15
Parque Lage;22;3;6;0;7;12;22;13;13;12
Praia do Arpoador;25;7;2;8;0;16;22;14;15;14
Maracana;27;10;12;9;14;0;28;8;7;7
Praia da Barra da Tijuca;38;20;19;21;20;26;0;30;29;27
Centro Cultural Banco do Brasil;27;12;14;11;15;8;29;0;0;1
Museu do Amanhã;27;13;16;12;16;9;28;5;0;1
AquaRio;26;12;15;11;15;7;27;6;5;0
