,Corcovado - Cristo Redentor,Jardim Botanico,Praia de Ipanema,Parque Lage,Praia do Arpoador,Maracana,Praia da Barra da Tijuca,Centro Cultural Banco do Brasil,Museu do Amanhã,AquaRio
Corcovado - Cristo Redentor,0.0,169.35696,208.24991999999997,148.16304000000002,227.42496,210.08879999999996,438.37488,190.95695999999998,199.97856,203.40864000000002
Jardim Botanico,176.35536000000002,0.0,62.742239999999995,29.50848,81.91872000000001,182.99519999999998,285.9984,199.0872,193.83983999999998,181.9656
Praia de Ipanema,209.37888,61.5384,0.0,69.7536,19.17504,216.01728000000003,295.71551999999997,207.55584,216.57744,214.98768
Parque Lage,161.9496,21.30624,67.20479999999999,0.0,86.37984000000002,168.588,297.32831999999996,151.5888,179.43408,167.5584
Praia do Arpoador,226.98144,79.14095999999999,32.65487999999999,87.35615999999999,0.0,233.61983999999998,310.4064,190.51055999999997,199.53216,204.60528
Maracana,196.00848,148.44528,187.33824,127.25135999999999,206.51471999999998,0.0,433.42128,96.03359999999999,90.78767999999998,85.82976
Praia da Barra da Tijuca,422.78688,274.9464,277.8048,283.16303999999997,296.98127999999997,373.51296,0.0,445.51872,440.2728,451.54368
Centro Cultural Banco do Brasil,202.60655999999997,174.90528,213.79824000000002,153.71135999999998,193.80959999999996,106.27631999999998,483.20496,0.0,9.0216,28.25568
Museu do Amanhã,224.03663999999998,201.76703999999998,240.65999999999997,180.57312,223.10495999999998,114.67152,474.18336,64.26864,0.0,19.234080000000002
AquaRio,204.80256,189.37296,228.26735999999997,168.18048000000002,208.13327999999998,95.43744,454.94784,84.06288,78.5664,0.0
