;Corcovado - Cristo Redentor;Jardim Botanico;Praia de Ipanema;Parque Lage;Praia do Arpoador;Maracana;Praia da Barra da Tijuca;Centro Cultural Banco do Brasil;Museu do Amanhã;AquaRio
Corcovado - Cristo Redentor;0;69;94;50;109;120;294;137;140;143
Jardim Botanico;96;0;49;32;63;167;247;139;157;162
Praia de Ipanema;145;48;0;69;16;187;234;158;176;182
Parque Lage;88;27;63;0;79;163;264;134;152;157
Praia do Arpoador;161;64;18;85;0;177;251;148;165;171
Maracana;181;182;207;185;192;0;282;70;74;57
Praia da Barra da Tijuca;344;251;234;273;250;303;0;347;378;360
Centro Cultural Banco do Brasil;202;136;160;139;146;69;342;0;13;24
Museu do Amanhã;209;149;174;152;159;75;349;14;0;18
AquaRio;204;153;178;156;163;56;331;25;17;0
