;Cristo Redentor;Jardim Botanico;Praia de Ipanema;Parque Lage;Praia do Arpoador;Maracana;Praia da Barra da Tijuca;Centro Cultural Banco do Brasil;Museu do Amanha;AquaRio;Escadaria Selaron;Forte Copacabana;Santa Teresa;Praia da Reserva;Pedra da Gavea;Pedra do Telegrafo;Prainha;Morro Dois Irmaos;Mosteiro De Sao Bento;Mirante Dona Marta;Theatro Municipal do Rio de Janeiro;Parque Nacional da Tijuca;Real Gabinete Portugues Da Leitura;Praia do Grumari;Pedra Bonita;Praia Da Joatinga;Centro Cultural Jerusalem;Bondinho de Santa Teresa;Ilha Da Gigoia;Pedra do Sal;Catedral Metropolitana de São Sebastião;Vista Chinesa;Museu Historico Nacional;Igreja de Sao Francisco da Penitência;Parque das Ruinas;Museu de Arte do Rio;Mureta da Urca;Quinta Da Boa Vista;Feira de Sao Cristovao;Biblioteca Nacional
Cristo Redentor;0;69;94;50;109;118;294;135;139;141;112;117;110;327;229;594;474;375;141;54;119;221;122;510;188;206;209;123;234;131;119;132;127;126;110;137;134;119;127;121
Jardim Botanico;96;0;49;32;63;167;248;139;157;162;114;70;126;281;250;549;428;364;159;103;125;244;133;465;178;161;278;127;198;155;128;85;136;132;126;155;91;182;188;127
Praia de Ipanema;145;48;0;69;16;187;235;158;176;182;134;25;146;268;253;535;415;351;179;151;145;289;153;451;185;147;298;146;184;174;147;130;155;152;146;175;105;202;208;147
Parque Lage;88;27;63;0;79;163;265;134;152;157;110;83;121;298;283;565;445;381;154;104;120;270;129;481;215;178;274;122;214;150;123;111;131;127;121;151;87;177;183;122
Praia do Arpoador;161;64;18;85;0;177;252;148;166;171;123;11;135;285;270;552;432;368;168;173;134;305;142;468;202;164;287;136;201;163;137;146;145;141;135;164;95;191;197;136
Maracana;181;182;207;185;192;0;282;70;74;57;68;185;76;315;217;592;471;278;76;128;73;141;63;508;176;234;91;68;221;66;65;214;81;69;76;72;157;19;32;78
Praia da Barra da Tijuca;344;251;234;273;250;303;0;346;378;360;356;259;367;33;171;300;180;141;380;350;366;240;334;216;174;114;293;337;85;342;334;271;377;336;367;374;333;322;335;368
Centro Cultural Banco do Brasil;202;136;160;139;146;69;343;0;13;24;27;139;40;376;277;661;540;347;15;148;15;209;11;577;237;286;156;16;282;15;21;220;12;12;40;12;111;64;68;12
Museu do Amanha;209;149;174;152;159;75;349;14;0;18;35;152;47;382;284;665;544;350;3;155;27;215;21;581;243;300;151;30;289;10;29;234;25;22;47;5;124;60;60;25
AquaRio;204;153;178;156;163;56;331;25;17;0;39;156;51;364;266;646;525;331;19;151;37;196;24;562;225;284;133;33;271;11;33;237;36;30;51;14;128;41;41;38
