# Nome;Coordenadas;Tempo de Visita (min);Custo (R$);Horário de Abertura;Horário de Fechamento
Corcovado - Cristo Redentor;-22.95112457318234,-43.21057352457689;120;241.54;480;1140
Jardim Botanico;-22.96352231913769,-43.22267669743484;180;15;480;1020
Praia de Ipanema;-22.98648190982438,-43.20668238449197;180;0;0;1439
Parque Lage;-22.957975657009477,-43.21163217653976;120;0;540;1020
Praia do Arpoador;-22.988371516628888,-43.19400661701697;180;0;0;1439
Maracana;-22.911925545881697,-43.23019601022307;240;116;540;1020
Praia da Barra da Tijuca;-23.01102228463985,-43.366251547561305;180;0;0;1439
Centro Cultural Banco do Brasil;-22.9008215829648,-43.17658567839236;180;0;540;1260
Museu do Amanhã;-22.894391989927207,-43.179644120721214;180;30;600;1080
AquaRio;-22.893263266025134,-43.19215237748509;120;75;540;1020
