# Nome;Preço Estimado por Diária;Coordenadas
Royal Rio Palace Hotel;455;-22.964233122329215,-43.17847409373247
Americas Barra Hotel;348;-22.999787947470132,-43.417173934209345
Windsor Tower Hotel;342;-23.01040037562927,-43.3219024630446
Hotel Atlantico Business;214;-22.91125049567131,-43.176903032363256
Royal Regency Palace Hotel;335;-22.928607543041913,-43.1778053477054
Hotel ibis budget Rio de Janeiro Centro;479;-22.907280555873587,-43.181900591884855
Hotel Monte Alegre;187;-22.914970154124344,-43.18747891887019
Hotel Atlantico Prime;191;-22.91287073945152,-43.1856378207203
Hotel Atlantico Rio;306;-22.975938380621407,-43.19322773606049
Venit Barra Hotel;432;-22.972389775955335,-43.390809791882056
