Generation;Front size;Hypervolume;Spread
0;11;1.82592e+08;0.396841
1;16;1.82592e+08;0.687078
2;23;1.82592e+08;0.62839
3;32;1.82592e+08;0.638485
4;46;1.82592e+08;0.535122
5;64;1.20222e+08;0.511179
6;89;1.20222e+08;0.596563
7;100;1.20222e+08;0.94103
8;100;1.20222e+08;0.72632
9;100;1.20222e+08;0.584246
10;100;1.20222e+08;0.600362
11;100;1.20222e+08;0.504902
12;100;1.20222e+08;0.517015
13;100;1.20222e+08;0.591013
14;100;1.20222e+08;0.505942
15;100;1.20222e+08;0.533572
16;100;1.20222e+08;0.519182
17;100;1.20222e+08;0.568682
18;100;1.20222e+08;0.52057
19;100;1.20222e+08;0.606036
20;100;1.20222e+08;0.528202
21;100;1.20222e+08;0.485018
22;100;1.20222e+08;0.499454
23;100;1.20222e+08;0.534888
24;100;1.20222e+08;0.580474
25;100;1.20222e+08;0.456486
26;100;1.20222e+08;0.499092
27;100;1.20222e+08;0.52909
28;100;1.20222e+08;0.534034
29;100;1.20222e+08;0.489128
30;100;1.20222e+08;0.454375
31;100;1.20222e+08;0.456656
32;100;1.20222e+08;0.516197
33;100;1.20222e+08;0.527506
34;100;1.20222e+08;0.512339
35;100;1.20222e+08;0.481315
36;100;1.20222e+08;0.469381
37;100;1.20222e+08;0.513215
38;100;1.20222e+08;0.518537
39;100;1.20222e+08;0.548883
40;100;1.20222e+08;0.45466
41;100;1.20222e+08;0.564312
42;100;1.20222e+08;0.545756
43;100;1.20222e+08;0.572908
44;100;1.20222e+08;0.581176
45;100;1.20222e+08;0.557571
46;100;1.20222e+08;0.568123
47;100;1.20222e+08;0.491606
48;100;1.20222e+08;0.44045
49;100;1.20222e+08;0.54456
50;100;1.20222e+08;0.489204
51;100;1.20222e+08;0.505678
52;100;1.20222e+08;0.515784
53;100;1.20222e+08;0.565692
54;100;1.20222e+08;0.528396
55;100;1.20222e+08;0.566225
56;100;1.20222e+08;0.593585
57;100;1.20222e+08;0.501612
58;100;1.20222e+08;0.447001
59;100;1.20222e+08;0.486945
60;100;1.20222e+08;0.512473
61;100;1.20222e+08;0.602646
62;100;1.20222e+08;0.538103
63;100;1.20222e+08;0.557291
64;100;1.20222e+08;0.535464
65;100;1.20222e+08;0.523253
66;100;1.20222e+08;0.554226
67;100;1.20222e+08;0.462946
68;100;1.20222e+08;0.561347
69;100;1.20222e+08;0.484509
70;100;1.20222e+08;0.545204
71;100;1.20222e+08;0.570774
72;100;1.20222e+08;0.540723
73;100;1.20222e+08;0.475146
74;100;1.20222e+08;0.518334
75;100;1.20222e+08;0.475843
76;100;1.20222e+08;0.49863
77;100;1.20222e+08;0.614844
78;100;1.20222e+08;0.567053
79;100;1.20222e+08;0.515431
80;100;1.20222e+08;0.450234
81;100;1.20222e+08;0.598598
82;100;1.20222e+08;0.538136
83;100;1.20222e+08;0.517426
84;100;1.20222e+08;0.564469
85;100;1.20222e+08;0.523673
86;100;1.20222e+08;0.603062
87;100;1.20222e+08;0.594916
88;100;1.20222e+08;0.532936
89;100;1.20222e+08;0.512476
90;100;1.20222e+08;0.475349
91;100;1.20222e+08;0.482968
92;100;1.20222e+08;0.51481
93;100;1.20222e+08;0.488619
94;100;1.20222e+08;0.505657
95;100;1.20222e+08;0.556555
96;100;1.20222e+08;0.582258
97;100;1.20222e+08;0.52783
98;100;1.20222e+08;0.574416
99;100;1.20222e+08;0.52365

Final metrics:
Final Hypervolume;1.82592e+08
Final Spread;0.638485
Execution Time (ms);1853
