Generation;Front size;Best Cost;Best Time;Max Attractions
0;17;0;60;6
1;26;0;60;6
2;34;0;60;6
3;49;0;60;6
4;72;0;60;6
5;100;0;60;6
6;100;0;60;6
7;100;0;60;6
8;100;0;60;6
9;100;0;60;6
10;100;0;60;6
11;100;0;60;6
12;100;0;60;6
13;100;0;60;6
14;100;0;60;6
15;100;0;60;6
16;100;0;60;6
17;100;0;60;6
18;100;0;60;6
19;100;0;60;6
20;100;0;60;6
21;100;0;60;6
22;100;0;60;6
23;100;0;60;6
24;100;0;60;6
25;100;0;60;6
26;100;0;60;6
27;100;0;60;6
28;100;0;60;6
29;100;0;60;6
30;100;0;60;6
31;100;0;60;6
32;100;0;60;6
33;100;0;60;6
34;100;0;60;6
35;100;0;60;6
36;100;0;60;6
37;100;0;60;6
38;100;0;60;6
39;100;0;60;6
40;100;0;60;7
41;100;0;60;7
42;100;0;60;7
43;100;0;60;7
44;100;0;60;7
45;100;0;60;7
46;100;0;60;7
47;100;0;60;7
48;100;0;60;7
49;100;0;60;7
50;100;0;60;7
51;100;0;60;7
52;100;0;60;7
53;100;0;60;7
54;100;0;60;7
55;100;0;60;7
56;100;0;60;7
57;100;0;60;7
58;100;0;60;7
59;100;0;60;7
60;100;0;60;7
61;100;0;60;7
62;100;0;60;7
63;100;0;60;7
64;100;0;60;7
65;100;0;60;7
66;100;0;60;7
67;100;0;60;7
68;100;0;60;7
69;100;0;60;7
70;100;0;60;7
71;100;0;60;7
72;100;0;60;7
73;100;0;60;7
74;100;0;60;7
75;100;0;60;7
76;100;0;60;7
77;100;0;60;7
78;100;0;60;7
79;100;0;60;7
80;100;0;60;7
81;100;0;60;7
82;100;0;60;7
83;100;0;60;7
84;100;0;60;7
85;100;0;60;7
86;100;0;60;7
87;100;0;60;7
88;100;0;60;7
89;100;0;60;7
90;100;0;60;7
91;100;0;60;7
92;100;0;60;8
93;100;0;60;8
94;100;0;60;8
95;100;0;60;8
96;100;0;60;8
97;100;0;60;8
98;100;0;60;8
99;100;0;60;8
