Solucao;CustoTotal;TempoTotal;NumAtracoes;HoraInicio;HoraFim;Sequencia;TemposChegada;TemposPartida;ModosTransporte
1;505.95;764.00;5;09:00;21:44;Corcovado - Cristo Redentor|Centro Cultural Banco do Brasil|AquaRio|Parque Lage|Praia de Ipanema|;09:00|11:26|14:27|16:38|18:44|;11:00|14:26|16:27|18:38|21:44|;Car|Car|Car|Car|
2;489.33;760.00;5;09:00;21:40;Corcovado - Cristo Redentor|Jardim Botanico|Parque Lage|Centro Cultural Banco do Brasil|AquaRio|;09:00|11:21|14:26|16:39|19:40|;11:00|14:21|16:26|19:39|21:40|;Car|Car|Car|Car|
3;206.86;801.00;5;09:00;22:21;Centro Cultural Banco do Brasil|AquaRio|Parque Lage|Jardim Botanico|Praia de Ipanema|;09:00|12:01|14:12|16:15|19:21|;12:00|14:01|16:12|19:15|22:21|;Car|Car|Car|Car|
4;184.85;814.00;5;09:00;22:34;Centro Cultural Banco do Brasil|AquaRio|Parque Lage|Praia de Ipanema|Praia do Arpoador|;09:00|12:01|14:12|16:18|19:34|;12:00|14:01|16:12|19:18|22:34|;Car|Car|Car|Walk|
5;499.37;780.00;5;09:00;22:00;Corcovado - Cristo Redentor|AquaRio|Parque Lage|Praia de Ipanema|Praia do Arpoador|;09:00|11:27|13:38|15:44|19:00|;11:00|13:27|15:38|18:44|22:00|;Car|Car|Car|Walk|
6;50.02;685.00;4;09:00;20:25;Parque Lage|Jardim Botanico|Praia de Ipanema|Praia do Arpoador|;09:00|11:03|14:09|17:25|;11:00|14:03|17:09|20:25|;Car|Car|Walk|
7;180.72;615.00;4;09:00;19:15;Centro Cultural Banco do Brasil|AquaRio|Parque Lage|Jardim Botanico|;09:00|12:01|14:12|16:15|;12:00|14:01|16:12|19:15|;Car|Car|Car|
8;179.93;631.00;4;09:00;19:31;Parque Lage|Centro Cultural Banco do Brasil|AquaRio|Museu do Amanhã|;09:00|11:13|14:14|16:31|;11:00|14:13|16:14|19:31|;Car|Car|Walk|
9;27.29;762.00;4;09:00;21:42;Jardim Botanico|Parque Lage|Praia do Arpoador|Praia de Ipanema|;09:00|12:05|15:24|18:42|;12:00|14:05|18:24|21:42|;Car|Walk|Walk|
10;453.21;574.00;4;09:00;18:34;Corcovado - Cristo Redentor|Parque Lage|Centro Cultural Banco do Brasil|AquaRio|;09:00|11:20|13:33|16:34|;11:00|13:20|16:33|18:34|;Car|Car|Car|
11;173.08;633.00;4;09:00;19:33;AquaRio|Parque Lage|Praia de Ipanema|Praia do Arpoador|;09:00|11:11|13:17|16:33|;11:00|13:11|16:17|19:33|;Car|Car|Walk|
12;149.93;434.00;3;09:00;16:14;Parque Lage|Centro Cultural Banco do Brasil|AquaRio|;09:00|11:13|14:14|;11:00|14:13|16:14|;Car|Car|
13;156.85;432.00;3;09:00;16:12;Centro Cultural Banco do Brasil|AquaRio|Parque Lage|;09:00|12:01|14:12|;12:00|14:01|16:12|;Car|Car|
14;448.09;392.00;3;09:00;15:32;Corcovado - Cristo Redentor|Parque Lage|AquaRio|;09:00|11:20|13:32|;11:00|13:20|15:32|;Car|Car|
15;50.02;489.00;3;09:00;17:09;Parque Lage|Jardim Botanico|Praia de Ipanema|;09:00|11:03|14:09|;11:00|14:03|17:09|;Car|Car|
16;28.00;502.00;3;09:00;17:22;Parque Lage|Praia de Ipanema|Praia do Arpoador|;09:00|11:06|14:22|;11:00|14:06|17:22|;Car|Walk|
17;0.00;704.00;3;09:00;20:44;Centro Cultural Banco do Brasil|Praia do Arpoador|Praia de Ipanema|;09:00|14:26|17:44|;12:00|17:26|20:44|;Walk|Walk|
18;0.00;704.00;3;09:00;20:44;Praia de Ipanema|Praia do Arpoador|Centro Cultural Banco do Brasil|;09:00|12:16|17:44|;12:00|15:16|20:44|;Walk|Walk|
19;86.77;301.00;2;09:00;14:01;Centro Cultural Banco do Brasil|AquaRio|;09:00|12:01|;12:00|14:01|;Car|
20;144.82;252.00;2;09:00;13:12;Parque Lage|AquaRio|;09:00|11:12|;11:00|13:12|;Car|
21;23.87;303.00;2;09:00;14:03;Parque Lage|Jardim Botanico|;09:00|11:03|;11:00|14:03|;Car|
22;145.07;251.00;2;09:00;13:11;AquaRio|Parque Lage|;09:00|11:11|;11:00|13:11|;Car|
23;0.00;120.00;1;09:00;11:00;Parque Lage|;09:00|;11:00|;
