Solucao;CustoTotal;TempoTotal;NumAtracoes;HoraInicio;HoraFim;Sequencia;TemposChegada;TemposPartida;ModosTransporte
1;192.83;799.00;5;09:00;22:19;Centro Cultural Banco do Brasil|AquaRio|Parque Lage|Praia de Ipanema|Praia do Arpoador|;09:00|12:01|14:12|16:18|19:19|;12:00|14:01|16:12|19:18|22:19|;Car|Car|Car|Car|
2;507.35;765.00;5;09:00;21:45;Corcovado - Cristo Redentor|AquaRio|Parque Lage|Praia de Ipanema|Praia do Arpoador|;09:00|11:27|13:38|15:44|18:45|;11:00|13:27|15:38|18:44|21:45|;Car|Car|Car|Car|
3;499.59;773.00;5;09:00;21:53;AquaRio|Corcovado - Cristo Redentor|Parque Lage|Praia de Ipanema|Praia do Arpoador|;09:00|11:26|13:46|15:52|18:53|;11:00|13:26|15:46|18:52|21:53|;Car|Car|Car|Car|
4;495.74;757.00;5;09:00;21:37;Centro Cultural Banco do Brasil|AquaRio|Parque Lage|Jardim Botanico|Corcovado - Cristo Redentor|;09:00|12:01|14:12|16:15|19:37|;12:00|14:01|16:12|19:15|21:37|;Car|Car|Car|Car|
5;192.60;803.00;5;09:00;22:23;Praia do Arpoador|Praia de Ipanema|Parque Lage|Centro Cultural Banco do Brasil|AquaRio|;09:00|12:02|15:09|17:22|20:23|;12:00|15:02|17:09|20:22|22:23|;Car|Car|Car|Car|
6;35.28;730.00;4;09:00;21:10;Praia de Ipanema|Praia do Arpoador|Jardim Botanico|Parque Lage|;09:00|12:01|16:05|19:10|;12:00|15:01|19:05|21:10|;Car|Walk|Car|
7;453.21;574.00;4;09:00;18:34;Corcovado - Cristo Redentor|Parque Lage|Centro Cultural Banco do Brasil|AquaRio|;09:00|11:20|13:33|16:34|;11:00|13:20|16:33|18:34|;Car|Car|Car|
8;54.24;700.00;4;09:00;20:40;Praia do Arpoador|Praia de Ipanema|Jardim Botanico|Parque Lage|;09:00|12:02|15:08|18:40|;12:00|15:02|18:08|20:40|;Car|Car|Walk|
9;162.92;639.00;4;09:00;19:39;AquaRio|Centro Cultural Banco do Brasil|Parque Lage|Jardim Botanico|;09:00|11:25|14:36|16:39|;11:00|14:25|16:36|19:39|;Walk|Car|Car|
10;58.00;670.00;4;09:00;20:10;Parque Lage|Jardim Botanico|Praia de Ipanema|Praia do Arpoador|;09:00|11:03|14:09|17:10|;11:00|14:03|17:09|20:10|;Car|Car|Car|
11;180.72;615.00;4;09:00;19:15;Centro Cultural Banco do Brasil|AquaRio|Parque Lage|Jardim Botanico|;09:00|12:01|14:12|16:15|;12:00|14:01|16:12|19:15|;Car|Car|Car|
12;40.90;746.00;4;09:00;21:26;Jardim Botanico|Parque Lage|Praia do Arpoador|Praia de Ipanema|;09:00|12:05|15:24|18:26|;12:00|14:05|18:24|21:26|;Car|Walk|Car|
13;149.93;434.00;3;09:00;16:14;Parque Lage|Centro Cultural Banco do Brasil|AquaRio|;09:00|11:13|14:14|;11:00|14:13|16:14|;Car|Car|
14;156.85;432.00;3;09:00;16:12;Centro Cultural Banco do Brasil|AquaRio|Parque Lage|;09:00|12:01|14:12|;12:00|14:01|16:12|;Car|Car|
15;28.00;502.00;3;09:00;17:22;Parque Lage|Praia de Ipanema|Praia do Arpoador|;09:00|11:06|14:22|;11:00|14:06|17:22|;Car|Walk|
16;0.00;559.00;3;09:00;18:19;Parque Lage|Praia de Ipanema|Praia do Arpoador|;09:00|12:03|15:19|;11:00|15:03|18:19|;Walk|Walk|
17;35.99;487.00;3;09:00;17:07;Parque Lage|Praia de Ipanema|Praia do Arpoador|;09:00|11:06|14:07|;11:00|14:06|17:07|;Car|Car|
18;448.09;392.00;3;09:00;15:32;Corcovado - Cristo Redentor|Parque Lage|AquaRio|;09:00|11:20|13:32|;11:00|13:20|15:32|;Car|Car|
19;138.16;457.00;3;09:00;16:37;Parque Lage|Centro Cultural Banco do Brasil|AquaRio|;09:00|11:13|14:37|;11:00|14:13|16:37|;Car|Walk|
20;86.77;301.00;2;09:00;14:01;Centro Cultural Banco do Brasil|AquaRio|;09:00|12:01|;12:00|14:01|;Car|
21;23.87;303.00;2;09:00;14:03;Parque Lage|Jardim Botanico|;09:00|11:03|;11:00|14:03|;Car|
22;15.00;332.00;2;09:00;14:32;Jardim Botanico|Parque Lage|;09:00|12:32|;12:00|14:32|;Walk|
23;144.82;252.00;2;09:00;13:12;Parque Lage|AquaRio|;09:00|11:12|;11:00|13:12|;Car|
24;145.07;251.00;2;09:00;13:11;AquaRio|Parque Lage|;09:00|11:11|;11:00|13:11|;Car|
25;7.99;361.00;2;09:00;15:01;Praia de Ipanema|Praia do Arpoador|;09:00|12:01|;12:00|15:01|;Car|
26;0.00;363.00;2;09:00;15:03;Parque Lage|Praia de Ipanema|;09:00|12:03|;11:00|15:03|;Walk|
27;0.00;120.00;1;09:00;11:00;Parque Lage|;09:00|;11:00|;
