Solucao;CustoTotal;TempoTotal;NumAtracoes;NumBairros;HoraInicio;HoraFim;Bairros;Sequencia;TemposChegada;TemposPartida;ModosTransporte
1;373.33;819.00;8;7;09:00;22:39;Alto da Boa Vista|Sao Conrado|Arpoador|Sao Cristovao|Centro|Santa Teresa|Saude|;Pedra do Sal|Mosteiro De Sao Bento|Quinta Da Boa Vista|Escadaria Selaron|Catedral Metropolitana de São Sebastião|Praia do Arpoador|Pedra Bonita|Vista Chinesa|;09:00|10:11|11:36|13:44|14:54|16:08|19:25|21:39|;10:00|11:11|13:36|14:44|15:54|19:08|21:25|22:39|;Walk|Car|Car|Walk|Car|Car|Car|
2;412.90;807.00;8;7;09:00;22:27;Alto da Boa Vista|Sao Conrado|Arpoador|Saude|Santa Teresa|Sao Cristovao|Centro|;Mosteiro De Sao Bento|Quinta Da Boa Vista|Escadaria Selaron|Pedra do Sal|Catedral Metropolitana de São Sebastião|Praia do Arpoador|Pedra Bonita|Vista Chinesa|;09:00|10:25|12:33|13:39|14:42|15:56|19:13|21:27|;10:00|12:25|13:33|14:39|15:42|18:56|21:13|22:27|;Car|Car|Car|Car|Car|Car|Car|
3;328.45;736.00;7;7;09:00;21:16;Sao Cristovao|Alto da Boa Vista|Sao Conrado|Arpoador|Centro|Saude|Santa Teresa|;Escadaria Selaron|Pedra do Sal|Catedral Metropolitana de São Sebastião|Praia do Arpoador|Pedra Bonita|Vista Chinesa|Quinta Da Boa Vista|;09:00|10:06|11:09|12:23|15:40|17:54|19:16|;10:00|11:06|12:09|15:23|17:40|18:54|21:16|;Car|Car|Car|Car|Car|Car|
4;500.65;683.00;7;7;09:00;20:23;Alto da Boa Vista|Sao Conrado|Sao Cristovao|Saude|Santa Teresa|Centro|Cosme Velho|;Cristo Redentor|Escadaria Selaron|Catedral Metropolitana de São Sebastião|Pedra do Sal|Quinta Da Boa Vista|Pedra Bonita|Vista Chinesa|;09:00|11:26|12:36|13:42|14:48|17:09|19:23|;11:00|12:26|13:36|14:42|16:48|19:09|20:23|;Car|Walk|Car|Car|Car|Car|
5;219.47;723.00;8;6;09:00;21:03;Alto da Boa Vista|Sao Conrado|Sao Cristovao|Centro|Saude|Santa Teresa|;Parque das Ruinas|Escadaria Selaron|Pedra do Sal|Catedral Metropolitana de São Sebastião|Museu Historico Nacional|Quinta Da Boa Vista|Pedra Bonita|Vista Chinesa|;09:00|10:07|11:13|12:16|13:19|15:28|17:49|20:03|;10:00|11:07|12:13|13:16|15:19|17:28|19:49|21:03|;Walk|Car|Car|Car|Car|Car|Car|
6;366.85;691.00;8;6;09:00;20:31;Alto da Boa Vista|Sao Conrado|Sao Cristovao|Centro|Santa Teresa|Saude|;Pedra do Sal|Escadaria Selaron|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Mosteiro De Sao Bento|Quinta Da Boa Vista|Pedra Bonita|Vista Chinesa|;09:00|10:04|11:14|12:19|13:31|14:56|17:17|19:31|;10:00|11:04|12:14|13:19|14:31|16:56|19:17|20:31|;Car|Walk|Walk|Car|Car|Car|Car|
7;190.79;659.00;7;6;09:00;19:59;Alto da Boa Vista|Sao Conrado|Sao Cristovao|Centro|Saude|Santa Teresa|;Escadaria Selaron|Catedral Metropolitana de São Sebastião|Museu Historico Nacional|Pedra do Sal|Quinta Da Boa Vista|Pedra Bonita|Vista Chinesa|;09:00|10:10|11:13|13:18|14:24|16:45|18:59|;10:00|11:10|13:13|14:18|16:24|18:45|19:59|;Walk|Car|Car|Car|Car|Car|
8;219.47;656.00;7;6;09:00;19:56;Alto da Boa Vista|Sao Conrado|Sao Cristovao|Centro|Saude|Santa Teresa|;Escadaria Selaron|Pedra do Sal|Catedral Metropolitana de São Sebastião|Museu Historico Nacional|Quinta Da Boa Vista|Pedra Bonita|Vista Chinesa|;09:00|10:06|11:09|12:12|14:21|16:42|18:56|;10:00|11:06|12:09|14:12|16:21|18:42|19:56|;Car|Car|Car|Car|Car|Car|
9;294.55;627.00;7;6;09:00;19:27;Alto da Boa Vista|Sao Conrado|Sao Cristovao|Centro|Saude|Santa Teresa|;Escadaria Selaron|Catedral Metropolitana de São Sebastião|Pedra do Sal|Mosteiro De Sao Bento|Quinta Da Boa Vista|Pedra Bonita|Vista Chinesa|;09:00|10:10|11:16|12:27|13:52|16:13|18:27|;10:00|11:10|12:16|13:27|15:52|18:13|19:27|;Walk|Car|Walk|Car|Car|Car|
10;340.59;625.00;7;6;09:00;19:25;Alto da Boa Vista|Sao Conrado|Sao Cristovao|Saude|Santa Teresa|Centro|;Mosteiro De Sao Bento|Escadaria Selaron|Catedral Metropolitana de São Sebastião|Pedra do Sal|Quinta Da Boa Vista|Pedra Bonita|Vista Chinesa|;09:00|10:28|11:38|12:44|13:50|16:11|18:25|;10:00|11:28|12:38|13:44|15:50|18:11|19:25|;Car|Walk|Car|Car|Car|Car|
