# Nome;Bairro;Coordenadas;Tempo de Visita (min);Custo (R$);Horário de Abertura;Horário de Fechamento
Cristo Redentor;Cosme Velho;-22.95112457318234,-43.21057352457689;120;241.54;480;1140
Jardim Botanico;Jardim Botanico;-22.96352231913769,-43.22267669743484;180;15;480;1020
Praia de Ipanema;Ipanema;-22.98648190982438,-43.20668238449197;180;0;0;1439
Parque Lage;Jardim Botanico;-22.957975657009477,-43.21163217653976;120;0;540;1020
Praia do Arpoador;Arpoador;-22.988371516628888,-43.19400661701697;180;0;0;1439
Maracana;Maracana;-22.911925545881697,-43.23019601022307;240;116;540;1020
Praia da Barra da Tijuca;Barra da Tijuca;-23.01102228463985,-43.366251547561305;180;0;0;1439
Centro Cultural Banco do Brasil;Centro;-22.9008215829648,-43.17658567839236;180;0;540;1260
Museu do Amanha;Centro;-22.894391989927207,-43.179644120721214;180;30;600;1080
AquaRio;Gamboa;-22.893263266025134,-43.19215237748509;120;75;540;1020
Escadaria Selaron;Santa Teresa;-22.915144047171196,-43.17917141918494;60;0;540;1020
Forte Copacabana;Copacabana;-22.985874970153922,-43.187643519181584;120;0;600;1140
Santa Teresa;Santa Teresa;-22.917876964161398,-43.18234504375717;180;0;0;1439
Praia da Reserva;Barra da Tijuca;-23.011285357037575,-43.39445089281464;180;0;0;1439
Pedra da Gavea;Sao Conrado;-22.99597439272693,-43.28472266217296;180;0;0;1439
Pedra do Telegrafo;Guaratiba;-23.067969018064595,-43.55776410568555;180;0;0;1439
Prainha;Recreio;-23.041009699524924,-43.505679936107384;180;0;0;1439
Morro Dois Irmaos;Vidigal;-22.949411255405114,-43.400237546435;120;0;0;1439
Mosteiro De Sao Bento;Centro;-22.87216248487049,-43.17383914228873;60;0;450;1020
Mirante Dona Marta;Cosme Velho;-22.944790699789518,-43.19637404801938;180;0;0;1439
Theatro Municipal do Rio de Janeiro;Centro;-22.90879113172147,-43.17652531918517;180;844.37;600;1080
Parque Nacional da Tijuca;Tijuca;-22.940431934212032,-43.292708669579135;180;0;0;1439
Real Gabinete Portugues Da Leitura;Centro;-22.905221850616293,-43.18225103452901;120;0;600;1020
Praia do Grumari;Grumari;-23.0460357615992,-43.52638926202537;180;0;0;1439
Pedra Bonita;Sao Conrado;-22.985719223823942,-43.27938393838966;120;0;0;1439
Praia Da Joatinga;Joatinga;-23.01450718137832,-43.29039638082129;180;0;0;1439
Centro Cultural Jerusalem;Del Castilho;-22.880454262721617,-43.27342889035068;60;0;540;1080
Bondinho de Santa Teresa;Santa Teresa;-22.90915947846921,-43.1786614073549;60;0;480;1050
Ilha Da Gigoia;Barra da Tijuca;-23.001454164140785,-43.308482875801054;120;0;0;1439
Pedra do Sal;Saude;-22.89773169416836,-43.1852938191857;60;0;0;1439
Catedral Metropolitana de São Sebastião;Centro;-22.910476429715835,-43.180744819185215;60;0;420;1020
Vista Chinesa;Alto da Boa Vista;-22.97308519896875,-43.24942874801805;60;0;0;1439
Museu Historico Nacional;Centro;-22.905466691085117,-43.16957331918533;120;0;0;1439
Igreja de Sao Francisco da Penitência;Centro;-22.906428285929053,-43.17917332103655;120;0;0;1439
Parque das Ruinas;Santa Teresa;-22.91760459425989,-43.18234766336432;60;0;0;1439
Museu de Arte do Rio;Centro;-22.896398808250563,-43.181935048021664;180;30;540;1020
Mureta da Urca;Urca;-22.94275908887587,-43.16001580176129;120;0;0;1439
Quinta Da Boa Vista;Sao Cristovao;-22.904996521731277,-43.22180686336484;120;0;0;1439
Feira de Sao Cristovao;Sao Cristovao;-22.897493044468007,-43.220203705693464;180;10;600;1320
Biblioteca Nacional;Centro;-22.90791763107082,-43.17568936190707;120;0;600;1020
