Generation;Front size;Best Cost;Best Time;Max Attractions;Max Neighborhoods
200;31;0.00;60.00;5;5
300;41;0.00;60.00;6;5
400;43;0.00;60.00;6;6
500;49;0.00;60.00;7;6
600;60;0.00;60.00;7;7
700;87;0.00;60.00;7;7
800;105;0.00;60.00;7;7
900;119;0.00;60.00;7;7
1000;132;0.00;60.00;7;7
1100;130;0.00;60.00;7;7
1200;153;0.00;60.00;7;7
1300;157;0.00;60.00;8;7
1400;155;0.00;60.00;8;7
1500;144;0.00;60.00;8;7
1600;153;0.00;60.00;8;7
1800;163;0.00;60.00;8;7
1900;168;0.00;60.00;8;7
2100;177;0.00;60.00;8;7
2200;188;0.00;60.00;9;7
2300;199;0.00;60.00;9;7
2400;207;0.00;60.00;9;7
2600;212;0.00;60.00;9;7
2700;213;0.00;60.00;9;7
2800;210;0.00;60.00;9;7
2900;211;0.00;60.00;9;7
3000;207;0.00;60.00;9;7
3100;216;0.00;60.00;9;7
3200;217;0.00;60.00;9;7
3300;227;0.00;60.00;9;7
3500;224;0.00;60.00;9;7
3600;236;0.00;60.00;9;7
3700;232;0.00;60.00;9;7
3800;243;0.00;60.00;9;7
3900;235;0.00;60.00;9;7
4000;244;0.00;60.00;9;7
4100;248;0.00;60.00;9;7
4200;254;0.00;60.00;9;7
4300;250;0.00;60.00;9;7
4400;251;0.00;60.00;9;7
4500;256;0.00;60.00;9;7
4600;262;0.00;60.00;9;7
4700;262;0.00;60.00;9;7
4800;272;0.00;60.00;9;7
4900;273;0.00;60.00;9;7
5000;280;0.00;60.00;9;8
