Solucao;CustoTotal;TempoTotal;NumAtracoes;NumBairros;HoraInicio;HoraFim;Bairros;Sequencia;TemposChegada;TemposPartida;ModosTransporte
1;512.24;831.00;9;8;09:00;22:51;Sao Cristovao|Jardim Botanico|Saude|Santa Teresa|Centro|Alto da Boa Vista|Gamboa|Del Castilho|;Centro Cultural Jerusalem|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Parque Lage|AquaRio|Pedra do Sal|Quinta Da Boa Vista|Vista Chinesa|Parque das Ruinas|;09:00|10:17|11:21|12:33|14:45|16:56|18:02|20:25|21:51|;10:00|11:17|12:21|14:33|16:45|17:56|20:02|21:25|22:51|;Car|Walk|Car|Car|Walk|Car|Car|Car|
2;314.92;795.00;9;7;09:00;22:15;Urca|Sao Cristovao|Saude|Santa Teresa|Centro|Gamboa|Del Castilho|;Centro Cultural Jerusalem|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|AquaRio|Pedra do Sal|Escadaria Selaron|Parque das Ruinas|Quinta Da Boa Vista|Mureta da Urca|;09:00|10:17|11:21|12:24|14:35|15:39|16:48|17:58|20:15|;10:00|11:17|12:21|14:24|15:35|16:39|17:48|19:58|22:15|;Car|Walk|Car|Walk|Car|Walk|Car|Car|
3;230.21;840.00;8;7;09:00;23:00;Arpoador|Urca|Centro|Saude|Santa Teresa|Sao Cristovao|Del Castilho|;Centro Cultural Jerusalem|Quinta Da Boa Vista|Escadaria Selaron|Bondinho de Santa Teresa|Pedra do Sal|Igreja de Sao Francisco da Penitência|Mureta da Urca|Praia do Arpoador|;09:00|10:11|12:19|13:30|14:34|15:36|17:48|20:00|;10:00|12:11|13:19|14:30|15:34|17:36|19:48|23:00|;Car|Car|Walk|Car|Car|Car|Car|
4;282.94;727.00;8;7;09:00;21:07;Sao Conrado|Sao Cristovao|Alto da Boa Vista|Gamboa|Saude|Santa Teresa|Centro|;Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|AquaRio|Pedra do Sal|Escadaria Selaron|Quinta Da Boa Vista|Vista Chinesa|Pedra Bonita|;09:00|10:04|11:07|13:18|14:22|15:30|17:53|19:07|;10:00|11:04|13:07|14:18|15:22|17:30|18:53|21:07|;Walk|Car|Walk|Car|Car|Car|Car|
5;313.06;677.00;8;7;09:00;20:17;Sao Cristovao|Saude|Santa Teresa|Centro|Alto da Boa Vista|Gamboa|Del Castilho|;Centro Cultural Jerusalem|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Escadaria Selaron|AquaRio|Pedra do Sal|Quinta Da Boa Vista|Vista Chinesa|;09:00|10:17|11:21|12:32|13:37|15:48|16:54|19:17|;10:00|11:17|12:21|13:32|15:37|16:48|18:54|20:17|;Car|Walk|Walk|Car|Walk|Car|Car|
6;144.50;822.00;7;7;09:00;22:42;Arpoador|Copacabana|Centro|Santa Teresa|Saude|Ipanema|Sao Cristovao|;Quinta Da Boa Vista|Pedra do Sal|Bondinho de Santa Teresa|Catedral Metropolitana de São Sebastião|Forte Copacabana|Praia do Arpoador|Praia de Ipanema|;09:00|11:08|12:12|13:16|14:30|16:40|19:42|;11:00|12:08|13:12|14:16|16:30|19:40|22:42|;Car|Car|Walk|Car|Walk|Car|
7;222.82;712.00;7;7;09:00;20:52;Arpoador|Urca|Centro|Santa Teresa|Saude|Sao Cristovao|Del Castilho|;Centro Cultural Jerusalem|Quinta Da Boa Vista|Pedra do Sal|Bondinho de Santa Teresa|Catedral Metropolitana de São Sebastião|Mureta da Urca|Praia do Arpoador|;09:00|10:11|12:19|13:23|14:27|15:40|17:52|;10:00|12:11|13:19|14:23|15:27|17:40|20:52|;Car|Car|Car|Walk|Car|Car|
8;288.02;665.00;7;7;09:00;20:05;Centro|Santa Teresa|Saude|Sao Cristovao|Alto da Boa Vista|Gamboa|Del Castilho|;Centro Cultural Jerusalem|Quinta Da Boa Vista|AquaRio|Pedra do Sal|Bondinho de Santa Teresa|Igreja de Sao Francisco da Penitência|Vista Chinesa|;09:00|10:11|12:18|14:29|15:33|16:39|19:05|;10:00|12:11|14:18|15:29|16:33|18:39|20:05|;Car|Car|Walk|Car|Walk|Car|
9;236.44;840.00;9;6;09:00;23:00;Urca|Saude|Santa Teresa|Centro|Sao Cristovao|Gamboa|;AquaRio|Quinta Da Boa Vista|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Escadaria Selaron|Parque das Ruinas|Igreja de Sao Francisco da Penitência|Pedra do Sal|Mureta da Urca|;09:00|11:05|13:13|14:17|15:28|16:37|17:42|19:46|21:00|;11:00|13:05|14:13|15:17|16:28|17:37|19:42|20:46|23:00|;Car|Car|Walk|Walk|Walk|Car|Car|Car|
10;351.73;765.00;9;6;09:00;21:45;Barra da Tijuca|Alto da Boa Vista|Del Castilho|Saude|Santa Teresa|Centro|;Igreja de Sao Francisco da Penitência|Bondinho de Santa Teresa|Catedral Metropolitana de São Sebastião|Escadaria Selaron|Centro Cultural Jerusalem|Pedra do Sal|Parque das Ruinas|Vista Chinesa|Ilha Da Gigoia|;09:00|11:06|12:10|13:20|14:37|15:51|16:57|18:24|19:45|;11:00|12:06|13:10|14:20|15:37|16:51|17:57|19:24|21:45|;Walk|Walk|Walk|Car|Car|Car|Car|Car|
