Cost,Time,-Attractions,-Neighborhoods
512.24,831.0,-9.0,-8.0
314.92,795.0,-9.0,-7.0
230.21,840.0,-8.0,-7.0
282.94,727.0,-8.0,-7.0
313.06,677.0,-8.0,-7.0
144.5,822.0,-7.0,-7.0
222.82,712.0,-7.0,-7.0
288.02,665.0,-7.0,-7.0
236.44,840.0,-9.0,-6.0
351.73,765.0,-9.0,-6.0
182.38,829.0,-8.0,-6.0
236.81,658.0,-8.0,-6.0
97.92,818.0,-7.0,-6.0
148.27,715.0,-7.0,-6.0
192.97,639.0,-7.0,-6.0
110.32,756.0,-6.0,-6.0
144.7,631.0,-6.0,-6.0
286.42,539.0,-6.0,-6.0
187.37,784.0,-9.0,-5.0
125.07,780.0,-8.0,-5.0
167.68,672.0,-8.0,-5.0
216.04,611.0,-8.0,-5.0
119.69,580.0,-7.0,-5.0
105.4,461.0,-6.0,-5.0
97.15,623.0,-5.0,-5.0
121.11,388.0,-5.0,-5.0
87.67,701.0,-8.0,-4.0
47.99,771.0,-7.0,-4.0
64.76,582.0,-7.0,-4.0
129.94,536.0,-7.0,-4.0
33.44,707.0,-6.0,-4.0
49.05,516.0,-6.0,-4.0
111.22,452.0,-6.0,-4.0
33.44,578.0,-5.0,-4.0
49.05,453.0,-5.0,-4.0
86.27,387.0,-5.0,-4.0
49.05,376.0,-4.0,-4.0
69.53,319.0,-4.0,-4.0
93.67,261.0,-4.0,-4.0
21.52,774.0,-8.0,-3.0
25.08,581.0,-7.0,-3.0
8.52,705.0,-6.0,-3.0
25.46,507.0,-6.0,-3.0
0.0,583.0,-5.0,-3.0
15.61,384.0,-5.0,-3.0
10.87,315.0,-4.0,-3.0
28.21,251.0,-4.0,-3.0
14.98,187.0,-3.0,-3.0
11.12,576.0,-6.0,-2.0
0.0,389.0,-5.0,-2.0
