Cost,Time,-Attractions,-Neighborhoods
320.38,810.0,-8.0,-7.0
336.14,743.0,-8.0,-7.0
305.54,676.0,-7.0,-7.0
190.07,798.0,-8.0,-6.0
192.9,790.0,-8.0,-6.0
219.86,785.0,-8.0,-6.0
221.83,671.0,-8.0,-6.0
236.09,665.0,-8.0,-6.0
254.77,661.0,-8.0,-6.0
188.86,717.0,-7.0,-6.0
207.49,535.0,-7.0,-6.0
206.59,471.0,-6.0,-6.0
112.65,838.0,-8.0,-5.0
127.96,833.0,-8.0,-5.0
130.81,831.0,-8.0,-5.0
139.0,830.0,-8.0,-5.0
143.98,722.0,-8.0,-5.0
147.13,709.0,-8.0,-5.0
172.86,706.0,-8.0,-5.0
194.51,705.0,-8.0,-5.0
105.14,765.0,-7.0,-5.0
109.1,713.0,-7.0,-5.0
124.41,708.0,-7.0,-5.0
126.89,588.0,-7.0,-5.0
133.96,582.0,-7.0,-5.0
159.83,578.0,-7.0,-5.0
94.77,515.0,-6.0,-5.0
101.75,457.0,-6.0,-5.0
126.01,452.0,-6.0,-5.0
206.54,426.0,-6.0,-5.0
207.17,419.0,-6.0,-5.0
216.9,416.0,-6.0,-5.0
221.24,413.0,-6.0,-5.0
149.26,398.0,-5.0,-5.0
166.73,396.0,-5.0,-5.0
187.19,347.0,-5.0,-5.0
45.5,635.0,-7.0,-4.0
64.36,634.0,-7.0,-4.0
80.51,629.0,-7.0,-4.0
83.06,628.0,-7.0,-4.0
122.33,584.0,-7.0,-4.0
45.28,521.0,-6.0,-4.0
55.28,508.0,-6.0,-4.0
60.77,507.0,-6.0,-4.0
76.67,501.0,-6.0,-4.0
87.97,463.0,-6.0,-4.0
89.39,460.0,-6.0,-4.0
99.39,453.0,-6.0,-4.0
122.33,450.0,-6.0,-4.0
53.14,441.0,-5.0,-4.0
57.44,386.0,-5.0,-4.0
93.67,332.0,-5.0,-4.0
119.4,329.0,-5.0,-4.0
51.91,314.0,-4.0,-4.0
93.67,261.0,-4.0,-4.0
20.86,504.0,-6.0,-3.0
42.35,501.0,-6.0,-3.0
17.77,384.0,-5.0,-3.0
20.71,379.0,-5.0,-3.0
33.38,378.0,-5.0,-3.0
39.17,373.0,-5.0,-3.0
17.77,259.0,-4.0,-3.0
33.45,257.0,-4.0,-3.0
36.24,252.0,-4.0,-3.0
10.71,252.0,-3.0,-3.0
14.98,187.0,-3.0,-3.0
0.0,445.0,-5.0,-2.0
0.0,320.0,-4.0,-2.0
10.0,317.0,-4.0,-2.0
0.0,194.0,-3.0,-2.0
0.0,124.0,-2.0,-2.0
14.98,123.0,-2.0,-2.0
0.0,60.0,-1.0,-1.0
0.0,60.0,-1.0,-1.0
