Generation;Front size;Best Cost;Best Time;Max Attractions
0;17;0;60;5
1;19;0;60;5
2;34;0;60;5
3;50;0;60;5
4;78;0;60;5
5;100;0;60;5
6;100;0;60;5
7;100;0;60;5
8;100;0;60;6
9;100;0;60;6
10;100;0;60;6
11;100;0;60;6
12;100;0;60;6
13;100;0;60;6
14;100;0;60;6
15;100;0;60;7
16;100;0;60;7
17;100;0;60;7
18;100;0;60;7
19;100;0;60;7
20;100;0;60;7
21;100;0;60;7
22;100;0;60;7
23;100;0;60;7
24;90;0;60;7
25;100;0;60;7
26;100;0;60;7
27;100;0;60;7
28;100;0;60;8
29;100;0;60;8
30;100;0;60;8
31;100;0;60;8
32;100;0;60;8
33;100;0;60;8
34;100;0;60;8
35;100;0;60;8
36;100;0;60;8
37;100;0;60;8
38;100;0;60;8
39;100;0;60;8
40;100;0;60;8
41;100;0;60;8
42;100;0;60;8
43;100;0;60;8
44;100;0;60;8
45;100;0;60;8
46;100;0;60;8
47;100;0;60;8
48;100;0;60;8
49;100;0;60;8
50;100;0;60;8
51;100;0;60;8
52;100;0;60;8
53;100;0;60;8
54;100;0;60;8
55;100;0;60;8
56;100;0;60;8
57;100;0;60;8
58;100;0;60;8
59;100;0;60;8
60;100;0;60;8
61;100;0;60;8
62;100;0;60;8
63;100;0;60;8
64;100;0;60;8
65;100;0;60;8
66;100;0;60;8
67;100;0;60;8
68;100;0;60;8
69;100;0;60;8
70;100;0;60;8
71;100;0;60;8
72;100;0;60;8
73;100;0;60;8
74;100;0;60;8
75;100;0;60;8
76;100;0;60;8
77;100;0;60;8
78;100;0;60;8
79;100;0;60;8
80;100;0;60;8
81;100;0;60;8
82;100;0;60;8
83;100;0;60;8
84;100;0;60;8
85;100;0;60;8
86;100;0;60;8
87;100;0;60;8
88;100;0;60;8
89;100;0;60;8
90;100;0;60;8
91;100;0;60;8
92;100;0;60;8
93;100;0;60;8
94;100;0;60;8
95;100;0;60;8
96;100;0;60;8
97;100;0;60;8
98;100;0;60;8
99;100;0;60;8
