Solucao;CustoTotal;TempoTotal;NumAtracoes;NumBairros;HoraInicio;HoraFim;Bairros;Sequencia;TemposChegada;TemposPartida;ModosTransporte
1;335.14;788.00;7;7;09:00;22:08;Sao Cristovao|Sao Conrado|Jardim Botanico|Centro|Santa Teresa|Saude|Gamboa|;AquaRio|Pedra do Sal|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Parque Lage|Pedra da Gavea|Quinta Da Boa Vista|;09:00|11:11|12:14|13:18|14:30|16:45|20:08|;11:00|12:11|13:14|14:18|16:30|19:45|22:08|;Walk|Car|Walk|Car|Car|Car|
2;348.85;783.00;7;7;09:00;22:03;Sao Conrado|Sao Cristovao|Jardim Botanico|Centro|Gamboa|Saude|Santa Teresa|;Bondinho de Santa Teresa|AquaRio|Pedra do Sal|Catedral Metropolitana de São Sebastião|Parque Lage|Quinta Da Boa Vista|Pedra da Gavea|;09:00|10:03|12:14|13:17|14:30|16:41|19:03|;10:00|12:03|13:14|14:17|16:30|18:41|22:03|;Car|Walk|Car|Car|Car|Car|
3;395.38;782.00;7;7;09:00;22:02;Sao Cristovao|Sao Conrado|Jardim Botanico|Gamboa|Santa Teresa|Saude|Centro|;Catedral Metropolitana de São Sebastião|Pedra do Sal|Bondinho de Santa Teresa|AquaRio|Parque Lage|Pedra da Gavea|Quinta Da Boa Vista|;09:00|10:06|11:10|12:13|14:24|16:39|20:02|;10:00|11:06|12:10|14:13|16:24|19:39|22:02|;Car|Car|Car|Car|Car|Car|
4;465.53;763.00;7;7;09:00;21:43;Sao Cristovao|Sao Conrado|Jardim Botanico|Alto da Boa Vista|Centro|Santa Teresa|Saude|;Pedra do Sal|Catedral Metropolitana de São Sebastião|Vista Chinesa|Bondinho de Santa Teresa|Parque Lage|Pedra da Gavea|Quinta Da Boa Vista|;09:00|10:03|11:29|12:53|14:05|16:20|19:43|;10:00|11:03|12:29|13:53|16:05|19:20|21:43|;Car|Car|Car|Car|Car|Car|
5;232.79;781.00;8;6;09:00;22:01;Sao Conrado|Sao Cristovao|Centro|Santa Teresa|Saude|Gamboa|;AquaRio|Pedra do Sal|Real Gabinete Portugues Da Leitura|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Parque das Ruinas|Quinta Da Boa Vista|Pedra Bonita|;09:00|11:11|12:13|14:22|15:26|16:30|17:40|20:01|;11:00|12:11|14:13|15:22|16:26|17:30|19:40|22:01|;Walk|Car|Walk|Walk|Car|Car|Car|
6;281.68;778.00;8;6;09:00;21:58;Sao Conrado|Sao Cristovao|Gamboa|Centro|Santa Teresa|Saude|;Pedra do Sal|Real Gabinete Portugues Da Leitura|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|AquaRio|Parque das Ruinas|Quinta Da Boa Vista|Pedra Bonita|;09:00|10:02|12:11|13:15|14:18|16:27|17:37|19:58|;10:00|12:02|13:11|14:15|16:18|17:27|19:37|21:58|;Car|Walk|Walk|Car|Car|Car|Car|
7;252.19;586.00;7;6;09:00;18:46;Sao Cristovao|Alto da Boa Vista|Gamboa|Centro|Santa Teresa|Saude|;Pedra do Sal|Parque das Ruinas|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|AquaRio|Quinta Da Boa Vista|Vista Chinesa|;09:00|10:06|11:11|12:15|13:18|15:23|17:46|;10:00|11:06|12:11|13:15|15:18|17:23|18:46|;Car|Car|Walk|Car|Car|Car|
8;207.32;581.00;6;6;09:00;18:41;Sao Cristovao|Jardim Botanico|Centro|Santa Teresa|Saude|Gamboa|;AquaRio|Pedra do Sal|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Parque Lage|Quinta Da Boa Vista|;09:00|11:11|12:14|13:18|14:30|16:41|;11:00|12:11|13:14|14:18|16:30|18:41|;Walk|Car|Walk|Car|Car|
9;211.09;568.00;6;6;09:00;18:28;Sao Cristovao|Gamboa|Centro|Santa Teresa|Saude|Jardim Botanico|;Parque Lage|Pedra do Sal|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|AquaRio|Quinta Da Boa Vista|;09:00|11:13|12:16|13:20|14:23|16:28|;11:00|12:13|13:16|14:20|16:23|18:28|;Car|Car|Walk|Car|Car|
10;139.41;640.00;7;5;09:00;19:40;Sao Cristovao|Centro|Santa Teresa|Saude|Gamboa|;AquaRio|Pedra do Sal|Real Gabinete Portugues Da Leitura|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Parque das Ruinas|Quinta Da Boa Vista|;09:00|11:11|12:13|14:22|15:26|16:30|17:40|;11:00|12:11|14:13|15:22|16:26|17:30|19:40|;Walk|Car|Walk|Walk|Car|Car|
